Date,ALE
2010-09-29,20.136354446411133
2010-09-30,20.119775772094727
2010-10-01,20.329654693603516
2010-10-04,20.21919822692871
2010-10-05,20.484289169311523
2010-10-06,20.395923614501953
2010-10-07,20.451152801513672
2010-10-08,20.605802536010742
2010-10-11,20.451152801513672
2010-10-12,20.41801643371582
2010-10-13,20.589229583740234
2010-10-14,20.605802536010742
2010-10-15,20.627885818481445
2010-10-18,20.78252410888672
2010-10-19,20.727298736572266
2010-10-20,20.79908561706543
2010-10-21,20.622373580932617
2010-10-22,20.556081771850586
2010-10-25,20.346221923828125
2010-10-26,20.307565689086914
2010-10-27,20.197101593017578
2010-10-28,20.24127769470215
2010-10-29,20.0921688079834
2010-11-01,19.876773834228516
2010-11-02,19.860197067260742
2010-11-03,19.89887237548828
