Date,BRSP
2018-10-26,11.16995906829834
2018-10-29,11.22264575958252
2018-10-30,11.501157760620117
2018-10-31,11.320789337158203
2018-11-01,11.262435913085938
2018-11-02,11.235910415649414
2018-11-05,11.230602264404297
2018-11-06,10.59400749206543
2018-11-07,10.567485809326172
2018-11-08,10.456075668334961
2018-11-09,10.498518943786621
2018-11-12,10.381807327270508
2018-11-13,10.355286598205566
2018-11-14,10.01046085357666
2018-11-15,9.904365539550781
2018-11-16,9.771739959716797
2018-11-19,9.623199462890625
2018-11-20,9.575454711914062
2018-11-21,9.453442573547363
2018-11-23,9.41630744934082
2018-11-26,9.151060104370117
2018-11-27,9.092703819274902
2018-11-28,9.177583694458008
2018-11-29,9.180257797241211
2018-11-30,9.07861042022705
2018-12-03,9.180257797241211
