Date,BMRN
2010-10-04,22.190000534057617
2010-10-05,22.399999618530273
2010-10-06,21.829999923706055
2010-10-07,21.860000610351562
2010-10-08,21.8700008392334
2010-10-11,21.81999969482422
2010-10-12,21.920000076293945
2010-10-13,21.969999313354492
2010-10-14,21.850000381469727
2010-10-15,21.969999313354492
2010-10-18,22.1200008392334
2010-10-19,22.149999618530273
2010-10-20,23.030000686645508
2010-10-21,23.260000228881836
2010-10-22,23.770000457763672
2010-10-25,24.299999237060547
2010-10-26,24.299999237060547
2010-10-27,24.290000915527344
2010-10-28,24.6200008392334
2010-10-29,26.110000610351562
2010-11-01,25.600000381469727
2010-11-02,25.639999389648438
2010-11-03,25.440000534057617
2010-11-04,25.899999618530273
2010-11-05,25.709999084472656
2010-11-08,25.739999771118164
2010-11-09,25.139999389648438
