Date,LAUR
2017-10-25,6.234250068664551
2017-10-26,6.210988521575928
2017-10-27,6.248208045959473
2017-10-30,6.215640544891357
2017-10-31,6.220293045043945
2017-11-01,6.173768997192383
2017-11-02,6.215640544891357
2017-11-03,6.164464473724365
2017-11-06,6.397085189819336
2017-11-07,6.243555068969727
2017-11-08,6.25751256942749
2017-11-09,5.401466369628906
2017-11-10,5.275851249694824
2017-11-13,5.178149700164795
2017-11-14,5.071143627166748
2017-11-15,4.899003982543945
2017-11-16,4.978095531463623
2017-11-17,4.950181007385254
2017-11-20,5.1269731521606445
2017-11-21,5.308417797088623
2017-11-22,5.41077184677124
2017-11-24,5.5922160148620605
2017-11-27,5.685265064239502
2017-11-28,6.234250068664551
2017-11-29,6.327298641204834
2017-11-30,6.341256618499756
