Date,XPRO
2014-05-08,127.67228698730469
2014-05-09,129.92153930664062
2014-05-12,128.9040069580078
2014-05-13,130.2428741455078
2014-05-14,128.9040069580078
2014-05-15,124.88746643066406
2014-05-16,123.2273178100586
2014-05-19,127.88648986816406
2014-05-20,126.54763793945312
2014-05-21,125.26236724853516
2014-05-22,124.03062438964844
2014-05-23,124.08417510986328
2014-05-27,125.47657012939453
2014-05-28,126.47049713134766
2014-05-29,128.13601684570312
2014-05-30,128.082275390625
2014-06-02,125.71832275390625
2014-06-03,129.1030731201172
2014-06-04,130.3924560546875
2014-06-05,132.2191619873047
2014-06-06,131.95054626464844
2014-06-09,132.1654510498047
2014-06-10,131.5207061767578
2014-06-11,130.76853942871094
2014-06-12,129.96266174316406
2014-06-13,131.46697998046875
