Date,RGA
2010-09-29,37.13154983520508
2010-09-30,36.9936637878418
2010-10-01,36.756187438964844
2010-10-04,36.45740509033203
2010-10-05,37.49927520751953
2010-10-06,37.66014099121094
2010-10-07,37.277103424072266
2010-10-08,37.13154983520508
2010-10-11,36.97068786621094
2010-10-12,37.26179504394531
2010-10-13,37.26179504394531
2010-10-14,37.19284439086914
2010-10-15,37.154537200927734
2010-10-18,37.4073486328125
2010-10-19,36.72554397583008
2010-10-20,37.116233825683594
2010-10-21,37.154537200927734
2010-10-22,36.79447937011719
2010-10-25,36.52635192871094
2010-10-26,38.594757080078125
2010-10-27,38.46451950073242
2010-10-28,38.073829650878906
2010-10-29,38.35727310180664
2010-11-01,38.495174407958984
2010-11-02,38.97779083251953
2010-11-03,38.877960205078125
2010-11-04,39.92229461669922
