Date,EIX
2010-09-29,20.15935707092285
2010-09-30,20.089248657226562
2010-10-01,20.229450225830078
2010-10-04,20.264501571655273
2010-10-05,20.457277297973633
2010-10-06,20.299545288085938
2010-10-07,20.404706954956055
2010-10-08,20.562427520751953
2010-10-11,20.650043487548828
2010-10-12,20.69677734375
2010-10-13,20.749359130859375
2010-10-14,20.743518829345703
2010-10-15,20.807767868041992
2010-10-18,21.012226104736328
2010-10-19,20.836978912353516
2010-10-20,21.01806640625
2010-10-21,20.953813552856445
2010-10-22,21.023908615112305
2010-10-25,21.064800262451172
2010-10-26,21.006385803222656
2010-10-27,20.97718048095703
2010-10-28,21.012226104736328
2010-10-29,21.55549430847168
2010-11-01,21.637277603149414
2010-11-02,21.719064712524414
2010-11-03,21.7015380859375
2010-11-04,22.09876251220703
