Date,OXM
2010-09-29,17.707717895507812
2010-09-30,17.685401916503906
2010-10-01,17.79695701599121
2010-10-04,17.358171463012695
2010-10-05,17.834148406982422
2010-10-06,17.551538467407227
2010-10-07,17.7672176361084
2010-10-08,18.057266235351562
2010-10-11,17.81183433532715
2010-10-12,17.96057891845703
2010-10-13,17.908283233642578
2010-10-14,18.057697296142578
2010-10-15,17.893339157104492
2010-10-18,18.13241195678711
2010-10-19,17.841039657592773
2010-10-20,17.908283233642578
2010-10-21,17.75885581970215
2010-10-22,17.587024688720703
2010-10-25,17.81863021850586
2010-10-26,17.923213958740234
2010-10-27,17.430130004882812
2010-10-28,17.161161422729492
2010-10-29,17.20600128173828
2010-11-01,16.996801376342773
2010-11-02,17.347949981689453
2010-11-03,17.310588836669922
