Date,LXFR
2013-07-02,10.201421737670898
2013-07-03,10.1366548538208
2013-07-05,10.492894172668457
2013-07-08,10.50584888458252
2013-07-09,10.55766487121582
2013-07-10,10.63538932800293
2013-07-11,10.862086296081543
2013-07-12,10.81674861907959
2013-07-15,10.751978874206543
2013-07-16,10.875044822692871
2013-07-17,10.907623291015625
2013-07-18,11.011876106262207
2013-07-19,10.98581600189209
2013-07-22,10.803364753723145
2013-07-23,10.901107788085938
2013-07-24,10.959749221801758
2013-07-25,10.92065715789795
2013-07-26,11.018390655517578
2013-07-29,11.090067863464355
2013-07-30,11.435408592224121
2013-07-31,11.233416557312012
2013-08-01,11.265996932983398
2013-08-02,11.005358695983887
2013-08-05,11.226901054382324
2013-08-06,11.168259620666504
2013-08-07,11.096583366394043
2013-08-08,11.17477035522461
