Date,STRA
2010-04-20,186.37890625
2010-04-21,189.7707977294922
2010-04-22,189.62399291992188
2010-04-23,185.76956176757812
2010-04-26,182.64930725097656
2010-04-27,182.6272735595703
2010-04-28,181.15890502929688
2010-04-29,179.5730743408203
2010-04-30,178.49380493164062
2010-05-03,180.7918243408203
2010-05-04,178.74342346191406
2010-05-05,179.87408447265625
2010-05-06,178.4571075439453
2010-05-07,172.55435180664062
2010-05-10,173.91990661621094
2010-05-11,176.60696411132812
2010-05-12,177.48065185546875
2010-05-13,175.8067169189453
2010-05-14,171.73202514648438
2010-05-17,179.87408447265625
2010-05-18,178.5011749267578
2010-05-19,179.6612091064453
2010-05-20,174.77883911132812
2010-05-21,174.43374633789062
2010-05-24,173.84645080566406
2010-05-25,174.18528747558594
2010-05-26,176.73358154296875
2010-05-27,178.36868286132812
2010-05-28,176.7630615234375
2010-06-01,178.3170928955078
2010-06-02,182.375244140625
2010-06-03,183.8262176513672
2010-06-04,184.03982543945312
2010-06-07,179.1714630126953
2010-06-08,181.51358032226562
2010-06-09,180.87278747558594
2010-06-10,182.66989135742188
2010-06-11,184.38597106933594
2010-06-14,180.79176330566406
2010-06-15,184.1945037841797
2010-06-16,182.27218627929688
2010-06-17,182.36061096191406
2010-06-18,181.28524780273438
2010-06-21,177.38909912109375
2010-06-22,171.9020538330078
2010-06-23,170.86358642578125
2010-06-24,171.31288146972656
2010-06-25,161.51722717285156
2010-06-28,161.8118438720703
2010-06-29,156.60475158691406
2010-06-30,153.11363220214844
2010-07-01,153.5555419921875
2010-07-02,151.37547302246094
2010-07-06,150.33700561523438
2010-07-07,153.1505126953125
2010-07-08,156.1406707763672
2010-07-09,154.29205322265625
2010-07-12,155.3011016845703
2010-07-13,157.2823028564453
2010-07-14,157.8052520751953
2010-07-15,159.70542907714844
2010-07-16,162.3716278076172
2010-07-19,165.1114044189453
2010-07-20,171.6074676513672
2010-07-21,165.02305603027344
2010-07-22,161.44358825683594
2010-07-23,174.17791748046875
2010-07-26,172.71958923339844
2010-07-27,172.3439483642578
2010-07-28,173.7875213623047
2010-07-29,173.24256896972656
2010-07-30,176.32115173339844
2010-08-02,176.4021453857422
2010-08-03,168.62457275390625
2010-08-04,168.26368713378906
2010-08-05,162.14328002929688
2010-08-06,159.52130126953125
2010-08-09,160.72183227539062
2010-08-10,159.1309051513672
2010-08-11,155.52207946777344
2010-08-12,154.5203857421875
2010-08-13,147.3098907470703
2010-08-16,120.2430419921875
2010-08-17,114.63819122314453
2010-08-18,124.47066497802734
2010-08-19,121.17840576171875
2010-08-20,120.2357177734375
2010-08-23,120.10315704345703
2010-08-24,119.02783203125
2010-08-25,121.5436019897461
2010-08-26,122.10599517822266
2010-08-27,121.41785430908203
2010-08-30,117.67372131347656
2010-08-31,107.02587890625
2010-09-01,108.71297454833984
2010-09-02,110.55548858642578
2010-09-03,111.73197174072266
2010-09-07,106.75953674316406
2010-09-08,109.37151336669922
2010-09-09,110.99198913574219
2010-09-10,111.36197662353516
2010-09-13,114.96551513671875
2010-09-14,112.23511505126953
2010-09-15,111.1030044555664
2010-09-16,116.24565124511719
2010-09-17,116.54158020019531
2010-09-20,121.72126770019531
2010-09-21,117.24456024169922
2010-09-22,118.65782928466797
2010-09-23,118.06591796875
2010-09-24,129.1059112548828
2010-09-27,127.53721618652344
2010-09-28,126.26451110839844
2010-09-29,125.82051849365234
2010-09-30,129.1206817626953
2010-10-01,131.05935668945312
2010-10-04,124.31107330322266
2010-10-05,126.16089630126953
2010-10-06,124.31107330322266
2010-10-07,121.47703552246094
2010-10-08,121.49922180175781
2010-10-11,120.43368530273438
2010-10-12,115.92743682861328
2010-10-13,116.20861053466797
2010-10-14,100.6253433227539
2010-10-15,97.2882080078125
2010-10-18,96.11905670166016
2010-10-19,94.71318054199219
2010-10-20,96.16348266601562
2010-10-21,94.70576477050781
2010-10-22,96.4150390625
2010-10-25,96.21524810791016
2010-10-26,94.45420837402344
2010-10-27,93.23326110839844
2010-10-28,94.71318054199219
2010-10-29,103.5629653930664
2010-11-01,103.34837341308594
2010-11-02,103.05976867675781
2010-11-03,99.92981719970703
2010-11-04,98.3463134765625
