Date,MATW
2010-09-29,26.03452491760254
2010-09-30,26.453466415405273
2010-10-01,26.34873390197754
2010-10-04,25.54075813293457
2010-10-05,26.655466079711914
2010-10-06,26.56568717956543
2010-10-07,26.46843147277832
2010-10-08,26.812570571899414
2010-10-11,26.610580444335938
2010-10-12,26.39362144470215
2010-10-13,26.56568717956543
2010-10-14,26.513328552246094
2010-10-15,26.258962631225586
2010-10-18,26.356216430664062
2010-10-19,25.765209197998047
2010-10-20,26.02704429626465
2010-10-21,25.62212562561035
2010-10-22,25.607131958007812
2010-10-25,25.67461395263672
2010-10-26,25.46466064453125
2010-10-27,24.94727325439453
2010-10-28,24.88728141784668
2010-10-29,24.759809494018555
2010-11-01,23.9799747467041
2010-11-02,24.44487762451172
2010-11-03,24.699819564819336
2010-11-04,25.554649353027344
