Date,JCI
2010-09-29,12.35122013092041
2010-09-30,12.214872360229492
2010-10-01,12.414403915405273
2010-10-04,12.105131149291992
2010-10-05,12.520824432373047
2010-10-06,12.470937728881836
2010-10-07,12.357870101928711
2010-10-08,12.427711486816406
2010-10-11,12.401104927062988
2010-10-12,12.401104927062988
2010-10-13,12.520824432373047
2010-10-14,12.617265701293945
2010-10-15,12.630572319030762
2010-10-18,12.593985557556152
2010-10-19,12.427711486816406
2010-10-20,12.630572319030762
2010-10-21,12.780219078063965
2010-10-22,12.816802024841309
2010-10-25,12.9165620803833
2010-10-26,12.8001708984375
2010-10-27,12.696515083312988
2010-10-28,12.806859970092773
2010-10-29,12.80017375946045
2010-11-01,12.723268508911133
2010-11-02,12.97404956817627
2010-11-03,13.01082992553711
