Date,VCTR
2018-11-02,6.742185115814209
2018-11-05,6.8017754554748535
2018-11-06,6.937979698181152
2018-11-07,8.325575828552246
2018-11-08,8.768244743347168
2018-11-09,9.517378807067871
2018-11-12,10.087739944458008
2018-11-13,10.019635200500488
2018-11-14,10.02815055847168
2018-11-15,10.206920623779297
2018-11-16,10.215432167053223
2018-11-19,10.27502155303955
2018-11-20,9.866403579711914
2018-11-21,10.215432167053223
2018-11-23,10.334613800048828
2018-11-26,10.487844467163086
2018-11-27,10.445280075073242
2018-11-28,10.453790664672852
2018-11-29,10.28353500366211
2018-11-30,10.428252220153809
2018-12-03,10.32609748840332
2018-12-04,9.89194393157959
2018-12-06,9.432247161865234
2018-12-07,9.500349998474121
2018-12-10,9.61953067779541
2018-12-11,9.611019134521484
