Date,KMT
2010-09-29,21.419208526611328
2010-09-30,21.685636520385742
2010-10-01,21.86793327331543
2010-10-04,21.50334358215332
2010-10-05,22.288597106933594
2010-10-06,22.61111831665039
2010-10-07,22.723297119140625
2010-10-08,22.940643310546875
2010-10-11,22.723297119140625
2010-10-12,22.576061248779297
2010-10-13,22.996728897094727
2010-10-14,23.024778366088867
2010-10-15,22.989717483520508
2010-10-18,23.256147384643555
2010-10-19,23.165006637573242
2010-10-20,23.620723724365234
2010-10-21,23.7329044342041
2010-10-22,23.704864501953125
2010-10-25,23.697853088378906
2010-10-26,23.473501205444336
2010-10-27,23.43843650817871
2010-10-28,24.167600631713867
2010-10-29,23.936237335205078
2010-11-01,23.97829818725586
2010-11-02,23.725894927978516
2010-11-03,23.3472957611084
