Date,TPR
2010-09-29,28.488554000854492
2010-09-30,28.376277923583984
2010-10-01,28.481952667236328
2010-10-04,28.336639404296875
2010-10-05,28.83203887939453
2010-10-06,28.719736099243164
2010-10-07,28.997163772583008
2010-10-08,29.30760955810547
2010-10-11,28.997163772583008
2010-10-12,29.254776000976562
2010-10-13,29.215139389038086
2010-10-14,29.1953182220459
2010-10-15,29.54539680480957
2010-10-18,29.571819305419922
2010-10-19,28.74616241455078
2010-10-20,29.16229248046875
2010-10-21,29.34064292907715
2010-10-22,29.426517486572266
2010-10-25,29.380266189575195
2010-10-26,32.88105392456055
2010-10-27,32.82822036743164
2010-10-28,32.79519271850586
2010-10-29,33.02638626098633
2010-11-01,33.10564041137695
2010-11-02,32.86785125732422
2010-11-03,33.35664367675781
