Date,TJX
2010-09-28,9.270811080932617
2010-09-29,9.2154541015625
2010-09-30,9.149855613708496
2010-10-01,9.131402015686035
2010-10-04,9.133448600769043
2010-10-05,9.166254043579102
2010-10-06,9.135502815246582
2010-10-07,9.051445960998535
2010-10-08,9.158052444458008
2010-10-11,9.223657608032227
2010-10-12,9.188809394836426
2010-10-13,9.110898971557617
2010-10-14,9.129352569580078
2010-10-15,9.23186206817627
2010-10-18,9.266708374023438
2010-10-19,9.135502815246582
2010-10-20,9.217508316040039
2010-10-21,9.197004318237305
2010-10-22,9.197004318237305
2010-10-25,9.367171287536621
2010-10-26,9.453274726867676
2010-10-27,9.488130569458008
2010-10-28,9.520931243896484
2010-10-29,9.408172607421875
2010-11-01,9.399972915649414
2010-11-02,9.5004301071167
2010-11-03,9.598837852478027
