Date,INVX
2010-10-01,63.59000015258789
2010-10-04,62.099998474121094
2010-10-05,64.0
2010-10-06,63.959999084472656
2010-10-07,63.25
2010-10-08,64.91999816894531
2010-10-11,65.80999755859375
2010-10-12,65.4000015258789
2010-10-13,67.01000213623047
2010-10-14,66.4000015258789
2010-10-15,65.9800033569336
2010-10-18,66.04000091552734
2010-10-19,65.69000244140625
2010-10-20,67.9800033569336
2010-10-21,66.58000183105469
2010-10-22,67.2699966430664
2010-10-25,67.94000244140625
2010-10-26,67.70999908447266
2010-10-27,67.75
2010-10-28,66.93000030517578
2010-10-29,69.0999984741211
2010-11-01,68.69000244140625
2010-11-02,70.08999633789062
2010-11-03,69.83999633789062
2010-11-04,73.44000244140625
2010-11-05,73.2300033569336
2010-11-08,74.33999633789062
