Date,REFI
2022-09-06,9.843574523925781
2022-09-07,9.777775764465332
2022-09-08,9.692237854003906
2022-09-09,9.639596939086914
2022-09-12,9.797516822814941
2022-09-13,9.554059028625488
2022-09-14,9.74487590789795
2022-09-15,9.639596939086914
2022-09-16,9.817256927490234
2022-09-19,10.106771469116211
2022-09-20,10.11993408203125
2022-09-21,9.61327838897705
2022-09-22,9.764617919921875
2022-09-23,9.751456260681152
2022-09-26,9.758037567138672
2022-09-27,9.692237854003906
2022-09-28,9.863316535949707
2022-09-29,9.88369369506836
2022-09-30,9.788594245910645
2022-10-03,9.8972806930542
2022-10-04,9.9652099609375
2022-10-05,9.863316535949707
2022-10-06,9.972003936767578
2022-10-07,10.05351734161377
2022-10-10,9.890487670898438
2022-10-11,9.775009155273438
