Date,FCF
2010-04-29,4.321302890777588
2010-04-30,4.120019435882568
2010-05-03,4.145179748535156
2010-05-04,3.843257188796997
2010-05-05,3.792935371398926
2010-05-06,3.6105217933654785
2010-05-07,3.434399127960205
2010-05-10,3.7363245487213135
2010-05-11,3.899866819381714
2010-05-12,4.08228063583374
2010-05-13,4.044539451599121
2010-05-14,3.962768077850342
2010-05-17,4.189211845397949
2010-05-18,3.962768077850342
2010-05-19,3.849545955657959
2010-05-20,3.497300386428833
2010-05-21,3.547621726989746
2010-05-24,3.3777873516082764
2010-05-25,3.3400485515594482
2010-05-26,3.296015501022339
2010-05-27,3.3840789794921875
2010-05-28,3.289727210998535
2010-06-01,3.119894027709961
2010-06-02,3.333758592605591
2010-06-03,3.3714966773986816
2010-06-04,3.132472515106201
2010-06-07,3.1450533866882324
2010-06-08,3.056992530822754
2010-06-09,3.1450533866882324
2010-06-10,3.2205350399017334
2010-06-11,3.2771458625793457
2010-06-14,3.251985549926758
2010-06-15,3.352627754211426
2010-06-16,3.3463377952575684
2010-06-17,3.358917474746704
2010-06-18,3.302306652069092
2010-06-21,3.2582757472991943
2010-06-22,3.251985549926758
2010-06-23,3.3085968494415283
2010-06-24,3.2771458625793457
2010-06-25,3.459559440612793
2010-06-28,3.497300386428833
2010-06-29,3.302306652069092
2010-06-30,3.302306652069092
2010-07-01,3.2771458625793457
2010-07-02,3.201664447784424
2010-07-06,3.1513447761535645
2010-07-07,3.365206241607666
2010-07-08,3.5161690711975098
2010-07-09,3.6168124675750732
2010-07-12,3.641972541809082
2010-07-13,3.8809967041015625
2010-07-14,3.704874038696289
2010-07-15,3.5664923191070557
2010-07-16,3.327467441558838
2010-07-19,3.251985549926758
2010-07-20,3.214244842529297
2010-07-21,3.088442325592041
2010-07-22,3.1576340198516846
2010-07-23,3.283435583114624
2010-07-26,3.2205350399017334
2010-07-27,3.226825475692749
2010-07-28,3.22682523727417
2010-07-29,3.321362018585205
2010-07-30,3.3402698040008545
2010-08-02,3.1827094554901123
2010-08-03,3.239428997039795
2010-08-04,3.088172674179077
2010-08-05,3.1827094554901123
2010-08-06,3.2016172409057617
2010-08-09,3.22682523727417
2010-08-10,3.2079176902770996
2010-08-11,3.151196002960205
2010-08-12,3.1638009548187256
2010-08-13,3.151196002960205
2010-08-16,3.2016172409057617
2010-08-17,3.3087565898895264
2010-08-18,3.315058708190918
2010-08-19,3.214219808578491
2010-08-20,3.214219808578491
2010-08-23,3.151196002960205
2010-08-24,3.1196842193603516
2010-08-25,3.1953136920928955
2010-08-26,3.1890110969543457
2010-08-27,3.214219808578491
2010-08-30,3.1322901248931885
2010-08-31,3.1196842193603516
2010-09-01,3.3276631832122803
2010-09-02,3.277245044708252
2010-09-03,3.346572160720825
2010-09-07,3.1827094554901123
2010-09-08,3.270942449569702
2010-09-09,3.3087565898895264
2010-09-10,3.321362018585205
2010-09-13,3.472618818283081
2010-09-14,3.4537110328674316
2010-09-15,3.4915261268615723
2010-09-16,3.3843846321105957
2010-09-17,3.346572160720825
2010-09-20,3.5041310787200928
2010-09-21,3.434804677963257
2010-09-22,3.277245044708252
