Date,PLUS
2010-09-23,4.720381259918213
2010-09-24,4.98067045211792
2010-09-27,5.01584529876709
2010-09-28,5.039294719696045
2010-09-29,5.004120349884033
2010-09-30,5.029914855957031
2010-10-01,4.936116695404053
2010-10-04,4.725071430206299
2010-10-05,4.872803688049316
2010-10-06,4.884528160095215
2010-10-07,4.851698875427246
2010-10-08,4.947841644287109
2010-10-11,4.884528160095215
2010-10-12,4.776660442352295
2010-10-13,4.725071430206299
2010-10-14,4.729761600494385
2010-10-15,4.73914098739624
2010-10-18,4.919702053070068
2010-10-19,4.781350135803223
2010-10-20,4.8399739265441895
2010-10-21,4.755555629730225
2010-10-22,4.818869113922119
2010-10-25,4.821214199066162
2010-10-26,4.926737308502197
2010-10-27,4.854043960571289
2010-10-28,4.898597240447998
2010-10-29,4.931427478790283
