Date,TREX
2010-09-22,2.3812499046325684
2010-09-23,2.336250066757202
2010-09-24,2.380000114440918
2010-09-27,2.365000009536743
2010-09-28,2.351249933242798
2010-09-29,2.3787500858306885
2010-09-30,2.3837499618530273
2010-10-01,2.4412500858306885
2010-10-04,2.421250104904175
2010-10-05,2.358750104904175
2010-10-06,2.2987499237060547
2010-10-07,2.271250009536743
2010-10-08,2.28125
2010-10-11,2.2512500286102295
2010-10-12,2.259999990463257
2010-10-13,2.296250104904175
2010-10-14,2.268749952316284
2010-10-15,2.28125
2010-10-18,2.242500066757202
2010-10-19,2.2362499237060547
2010-10-20,2.259999990463257
2010-10-21,2.266249895095825
2010-10-22,2.276249885559082
2010-10-25,2.2850000858306885
2010-10-26,2.2799999713897705
2010-10-27,2.2512500286102295
2010-10-28,2.259999990463257
