Date,SNV
2010-09-29,11.630109786987305
2010-09-30,11.536316871643066
2010-10-01,11.630109786987305
2010-10-04,11.489421844482422
2010-10-05,11.864591598510742
2010-10-06,12.333541870117188
2010-10-07,12.099066734313965
2010-10-08,12.005276679992676
2010-10-11,11.723899841308594
2010-10-12,12.239753723144531
2010-10-13,12.708710670471191
2010-10-14,12.614914894104004
2010-10-15,12.192858695983887
2010-10-18,12.192858695983887
2010-10-19,11.817697525024414
2010-10-20,11.442530632019043
2010-10-21,11.254941940307617
2010-10-22,11.254941940307617
2010-10-25,11.442530632019043
2010-10-26,10.973572731018066
2010-10-27,10.785990715026855
2010-10-28,10.64530086517334
2010-10-29,10.129451751708984
2010-11-01,10.082552909851074
2010-11-02,9.80118465423584
2010-11-03,9.566702842712402
