Date,CW
2010-09-29,27.533842086791992
2010-09-30,27.452306747436523
2010-10-01,27.425119400024414
2010-10-04,26.82716178894043
2010-10-05,28.086532592773438
2010-10-06,28.313610076904297
2010-10-07,28.25002670288086
2010-10-08,28.522520065307617
2010-10-11,28.368101119995117
2010-10-12,28.21368980407715
2010-10-13,28.349939346313477
2010-10-14,28.540691375732422
2010-10-15,28.159189224243164
2010-10-18,28.468027114868164
2010-10-19,28.032012939453125
2010-10-20,28.85862159729004
2010-10-21,29.385475158691406
2010-10-22,29.667055130004883
2010-10-25,29.558053970336914
2010-10-26,29.603469848632812
2010-10-27,29.221965789794922
2010-10-28,29.521724700927734
2010-10-29,28.050186157226562
2010-11-01,27.4324951171875
2010-11-02,28.422609329223633
2010-11-03,28.458938598632812
