Date,CTBI
2010-09-29,14.117820739746094
2010-09-30,14.050395965576172
2010-10-01,14.226736068725586
2010-10-04,13.962224006652832
2010-10-05,14.283784866333008
2010-10-06,14.309722900390625
2010-10-07,14.02964973449707
2010-10-08,14.283784866333008
2010-10-11,14.263042449951172
2010-10-12,14.278604507446289
2010-10-13,14.356404304504395
2010-10-14,14.377155303955078
2010-10-15,14.273419380187988
2010-10-18,14.45494556427002
2010-10-19,14.123003959655762
2010-10-20,14.418643951416016
2010-10-21,14.283784866333008
2010-10-22,14.429012298583984
2010-10-25,14.366777420043945
2010-10-26,14.449762344360352
2010-10-27,14.273419380187988
2010-10-28,14.29416275024414
2010-10-29,14.164495468139648
2010-11-01,13.957036972045898
2010-11-02,13.951852798461914
2010-11-03,14.050395965576172
