Date,AMTB
2019-07-18,16.710546493530273
2019-07-19,16.607040405273438
2019-07-22,16.67290496826172
2019-07-23,16.67290496826172
2019-07-24,16.879907608032227
2019-07-25,16.795225143432617
2019-07-26,16.917543411254883
2019-07-29,16.522363662719727
2019-07-30,17.604408264160156
2019-07-31,17.293909072875977
2019-08-01,17.689088821411133
2019-08-02,16.654088973999023
2019-08-05,16.814044952392578
2019-08-06,16.767000198364258
2019-08-07,16.795225143432617
2019-08-08,16.597631454467773
2019-08-09,16.23067855834961
2019-08-12,16.352996826171875
2019-08-13,16.249500274658203
2019-08-14,15.920177459716797
2019-08-15,15.61909008026123
2019-08-16,15.666131973266602
2019-08-19,16.352996826171875
2019-08-20,16.014270782470703
2019-08-21,16.051902770996094
2019-08-22,16.12717628479004
