Date,EL
2010-09-29,26.504554748535156
2010-09-30,26.132583618164062
2010-10-01,26.15738868713379
2010-10-04,26.00860023498535
2010-10-05,26.35576820373535
2010-10-06,25.85154914855957
2010-10-07,26.037534713745117
2010-10-08,27.136886596679688
2010-10-11,27.029436111450195
2010-10-12,27.690706253051758
2010-10-13,27.496456146240234
2010-10-14,27.484058380126953
2010-10-15,27.7857666015625
2010-10-18,27.707237243652344
2010-10-19,27.07489776611328
2010-10-20,27.376598358154297
2010-10-21,27.322877883911133
2010-10-22,27.38488006591797
2010-10-25,27.06662940979004
2010-10-26,26.78558921813965
2010-10-27,26.769060134887695
2010-10-28,26.620271682739258
2010-10-29,29.414142608642578
2010-11-01,28.872726440429688
2010-11-02,29.15790557861328
2010-11-03,29.33975601196289
2010-11-04,29.810909271240234
