Date,ACT
2022-06-13,18.679218292236328
2022-06-14,19.233192443847656
2022-06-15,19.648670196533203
2022-06-16,18.584009170532227
2022-06-17,18.635944366455078
2022-06-21,18.358957290649414
2022-06-22,18.10793685913086
2022-06-23,18.185836791992188
2022-06-24,18.436857223510742
2022-06-27,18.973520278930664
2022-06-28,18.592660903930664
2022-06-29,18.116594314575195
2022-06-30,18.592660903930664
2022-07-01,18.800399780273438
2022-07-05,18.60997200012207
2022-07-06,18.350299835205078
2022-07-07,18.748470306396484
2022-07-08,18.77443504333496
2022-07-11,18.938894271850586
2022-07-12,19.345718383789062
2022-07-13,19.042768478393555
2022-07-14,18.47148323059082
2022-07-15,19.02545166015625
2022-07-18,18.133907318115234
2022-07-19,18.895620346069336
2022-07-20,18.999486923217773
2022-07-21,19.01679801940918
