Date,FLS
2010-09-29,28.291574478149414
2010-09-30,28.345975875854492
2010-10-01,28.643888473510742
2010-10-04,28.128368377685547
2010-10-05,28.783790588378906
2010-10-06,28.708648681640625
2010-10-07,28.82523536682129
2010-10-08,29.40032958984375
2010-10-11,29.309659957885742
2010-10-12,29.11020278930664
2010-10-13,29.628324508666992
2010-10-14,29.44438362121582
2010-10-15,29.467695236206055
2010-10-18,29.716402053833008
2010-10-19,28.91590690612793
2010-10-20,29.138696670532227
2010-10-21,29.35630989074707
2010-10-22,29.57909393310547
2010-10-25,30.13608169555664
2010-10-26,29.84332847595215
2010-10-27,29.66197967529297
2010-10-28,26.045560836791992
2010-10-29,25.905664443969727
2010-11-01,25.395320892333984
2010-11-02,25.73210906982422
2010-11-03,25.12331771850586
