Date,OLN
2010-09-29,12.660112380981445
2010-09-30,12.616315841674805
2010-10-01,12.703922271728516
2010-10-04,12.347212791442871
2010-10-05,12.879151344299316
2010-10-06,12.77276611328125
2010-10-07,12.904183387756348
2010-10-08,13.167022705078125
2010-10-11,13.041857719421387
2010-10-12,13.129478454589844
2010-10-13,13.229608535766602
2010-10-14,13.242121696472168
2010-10-15,13.198314666748047
2010-10-18,13.367280006408691
2010-10-19,12.947994232177734
2010-10-20,13.02934741973877
2010-10-21,13.07315444946289
2010-10-22,12.9855375289917
2010-10-25,13.342252731323242
2010-10-26,12.547471046447754
2010-10-27,12.591280937194824
2010-10-28,12.722700119018555
2010-10-29,12.50992488861084
2010-11-01,12.453598976135254
2010-11-02,12.347212791442871
2010-11-03,12.372245788574219
2010-11-04,12.322183609008789
