Date,FBNC
2010-09-29,9.789605140686035
2010-09-30,10.03268814086914
2010-10-01,10.246305465698242
2010-10-04,9.553890228271484
2010-10-05,10.165279388427734
2010-10-06,10.216838836669922
2010-10-07,10.062150955200195
2010-10-08,10.216838836669922
2010-10-11,9.959026336669922
2010-10-12,9.752776145935059
2010-10-13,9.93692684173584
2010-10-14,9.752776145935059
2010-10-15,9.634915351867676
2010-10-18,9.92956256866455
2010-10-19,9.73067569732666
2010-10-20,10.054783821105957
2010-10-21,9.745405197143555
2010-10-22,9.78223991394043
2010-10-25,9.841166496276855
2010-10-26,9.826434135437012
2010-10-27,9.811701774597168
2010-10-28,9.723304748535156
2010-10-29,9.863263130187988
2010-11-01,9.841166496276855
2010-11-02,10.275769233703613
2010-11-03,10.238940238952637
