Date,DK
2010-09-28,4.480837821960449
2010-09-29,4.55646276473999
2010-09-30,4.51234769821167
2010-10-01,4.543859481811523
2010-10-04,4.373701095581055
2010-10-05,4.443023204803467
2010-10-06,4.461931228637695
2010-10-07,4.468234062194824
2010-10-08,4.436723232269287
2010-10-11,4.493441581726074
2010-10-12,4.493441581726074
2010-10-13,4.587974548339844
2010-10-14,4.543859481811523
2010-10-15,4.606879711151123
2010-10-18,4.714016914367676
2010-10-19,4.695108413696289
2010-10-20,4.669900894165039
2010-10-21,4.61318302154541
2010-10-22,4.581669330596924
2010-10-25,4.632091045379639
2010-10-26,4.606879711151123
2010-10-27,4.594277858734131
2010-10-28,4.606879711151123
2010-10-29,4.632091045379639
2010-11-01,4.51234769821167
2010-11-02,4.61318302154541
2010-11-03,4.676205158233643
