Date,EQR
2010-09-29,24.555551528930664
2010-09-30,24.648826599121094
2010-10-01,24.778369903564453
2010-10-04,24.990800857543945
2010-10-05,25.332796096801758
2010-10-06,25.172163009643555
2010-10-07,25.135892868041992
2010-10-08,25.198070526123047
2010-10-11,25.156620025634766
2010-10-12,25.638507843017578
2010-10-13,25.882038116455078
2010-10-14,25.783607482910156
2010-10-15,25.882038116455078
2010-10-18,26.255115509033203
2010-10-19,26.032318115234375
2010-10-20,26.690370559692383
2010-10-21,26.690370559692383
2010-10-22,26.3380184173584
2010-10-25,26.16184425354004
2010-10-26,25.98567771911621
2010-10-27,25.79913330078125
2010-10-28,25.26025390625
2010-10-29,25.198070526123047
2010-11-01,25.353517532348633
2010-11-02,25.33797264099121
2010-11-03,25.306884765625
2010-11-04,26.12039566040039
