Date,PSTL
2020-02-10,11.349814414978027
2020-02-11,11.42813777923584
2020-02-12,11.56342601776123
2020-02-13,11.563426971435547
2020-02-14,11.57349681854248
2020-02-18,11.383533477783203
2020-02-19,11.420949935913086
2020-02-20,11.484274864196777
2020-02-21,11.254013061523438
2020-02-24,11.243220329284668
2020-02-25,11.405121803283691
2020-02-26,11.36914348602295
2020-02-27,11.26120662689209
2020-02-28,11.585012435913086
2020-03-02,11.34035873413086
2020-03-03,10.843859672546387
2020-03-04,10.937403678894043
2020-03-05,11.081316947937012
2020-03-06,10.937403678894043
2020-03-09,10.836665153503418
2020-03-10,10.836665153503418
2020-03-11,10.75031566619873
2020-03-12,10.491271018981934
2020-03-13,10.462491035461426
2020-03-16,9.987576484680176
2020-03-17,9.894034385681152
