Date,APG
2021-11-19,16.593332290649414
2021-11-22,16.553333282470703
2021-11-23,16.520000457763672
2021-11-24,16.333332061767578
2021-11-26,16.03333282470703
2021-11-29,15.853333473205566
2021-11-30,15.539999961853027
2021-12-01,15.226667404174805
2021-12-02,15.533332824707031
2021-12-03,15.220000267028809
2021-12-06,15.853333473205566
2021-12-07,16.01333236694336
2021-12-08,16.273332595825195
2021-12-09,15.826666831970215
2021-12-10,15.899999618530273
2021-12-13,15.706666946411133
2021-12-14,15.260000228881836
2021-12-15,15.686667442321777
2021-12-16,15.546667098999023
2021-12-17,15.613332748413086
2021-12-20,15.426667213439941
2021-12-21,16.100000381469727
2021-12-22,16.426666259765625
2021-12-23,16.65333366394043
2021-12-27,16.97333335876465
2021-12-28,16.926666259765625
2021-12-29,17.020000457763672
2021-12-30,16.959999084472656
2021-12-31,17.18000030517578
2022-01-03,17.166667938232422
2022-01-04,17.559999465942383
2022-01-05,17.040000915527344
2022-01-06,16.899999618530273
2022-01-07,17.01333236694336
2022-01-10,16.479999542236328
2022-01-11,16.84666633605957
2022-01-12,16.940000534057617
2022-01-13,16.46666717529297
2022-01-14,16.246667861938477
2022-01-18,15.760000228881836
2022-01-19,15.34000015258789
2022-01-20,15.053333282470703
2022-01-21,14.720000267028809
2022-01-24,14.946666717529297
2022-01-25,14.59333324432373
2022-01-26,14.473333358764648
2022-01-27,14.186667442321777
2022-01-28,14.506667137145996
2022-01-31,14.866666793823242
2022-02-01,14.833333015441895
2022-02-02,14.813332557678223
2022-02-03,14.41333293914795
2022-02-04,14.266667366027832
2022-02-07,14.293333053588867
2022-02-08,14.460000038146973
2022-02-09,14.813332557678223
2022-02-10,14.5
2022-02-11,14.173333168029785
2022-02-14,14.0600004196167
2022-02-15,14.606666564941406
2022-02-16,14.760000228881836
2022-02-17,14.186667442321777
2022-02-18,13.979999542236328
2022-02-22,13.566666603088379
2022-02-23,13.800000190734863
2022-02-24,14.353333473205566
2022-02-25,14.606666564941406
2022-02-28,14.380000114440918
2022-03-01,13.713333129882812
2022-03-02,13.786666870117188
2022-03-03,13.880000114440918
2022-03-04,13.119999885559082
2022-03-07,12.553333282470703
2022-03-08,13.0
2022-03-09,13.846667289733887
2022-03-10,13.720000267028809
2022-03-11,13.58666706085205
2022-03-14,13.286666870117188
2022-03-15,13.573332786560059
2022-03-16,14.013333320617676
2022-03-17,14.046667098999023
2022-03-18,14.626667022705078
2022-03-21,14.15999984741211
2022-03-22,14.266667366027832
2022-03-23,13.886667251586914
2022-03-24,14.153332710266113
2022-03-25,14.239999771118164
2022-03-28,14.25333309173584
2022-03-29,14.766667366027832
2022-03-30,14.260000228881836
2022-03-31,14.020000457763672
2022-04-01,14.026666641235352
2022-04-04,13.91333293914795
2022-04-05,13.566666603088379
2022-04-06,13.399999618530273
2022-04-07,13.293333053588867
2022-04-08,13.126667022705078
2022-04-11,12.9399995803833
2022-04-12,13.053333282470703
2022-04-13,13.19333267211914
2022-04-14,13.15999984741211
2022-04-18,12.933333396911621
2022-04-19,13.493332862854004
2022-04-20,13.526666641235352
2022-04-21,13.153332710266113
2022-04-22,12.779999732971191
2022-04-25,12.920000076293945
2022-04-26,12.433333396911621
2022-04-27,12.479999542236328
2022-04-28,12.773332595825195
2022-04-29,12.373332977294922
2022-05-02,12.520000457763672
2022-05-03,12.5600004196167
2022-05-04,12.366666793823242
2022-05-05,11.479999542236328
2022-05-06,11.426667213439941
2022-05-09,10.726667404174805
2022-05-10,10.91333293914795
2022-05-11,10.80666732788086
2022-05-12,10.893333435058594
2022-05-13,11.380000114440918
2022-05-16,11.239999771118164
2022-05-17,11.613332748413086
2022-05-18,11.366666793823242
2022-05-19,11.313332557678223
2022-05-20,11.566666603088379
2022-05-23,11.986666679382324
2022-05-24,11.566666603088379
2022-05-25,11.573332786560059
2022-05-26,11.533332824707031
2022-05-27,12.0600004196167
2022-05-31,11.633333206176758
2022-06-01,11.653332710266113
2022-06-02,12.033332824707031
2022-06-03,11.846667289733887
2022-06-06,11.966667175292969
2022-06-07,12.039999961853027
2022-06-08,11.926667213439941
2022-06-09,11.546667098999023
2022-06-10,11.153332710266113
2022-06-13,10.573332786560059
2022-06-14,10.486666679382324
2022-06-15,10.640000343322754
2022-06-16,9.793333053588867
2022-06-17,9.600000381469727
2022-06-21,9.600000381469727
2022-06-22,9.533332824707031
2022-06-23,10.186667442321777
2022-06-24,10.573332786560059
2022-06-27,10.606666564941406
2022-06-28,10.426667213439941
2022-06-29,10.066666603088379
2022-06-30,9.979999542236328
2022-07-01,10.066666603088379
2022-07-05,10.199999809265137
2022-07-06,10.153332710266113
2022-07-07,10.333333015441895
2022-07-08,10.066666603088379
2022-07-11,10.113332748413086
2022-07-12,10.19333267211914
2022-07-13,10.133333206176758
2022-07-14,9.993332862854004
2022-07-15,10.180000305175781
2022-07-18,10.333333015441895
2022-07-19,10.706666946411133
2022-07-20,10.933333396911621
2022-07-21,11.053333282470703
2022-07-22,10.926667213439941
2022-07-25,10.966667175292969
2022-07-26,10.84000015258789
2022-07-27,11.206666946411133
2022-07-28,11.633333206176758
2022-07-29,11.80666732788086
2022-08-01,11.893333435058594
2022-08-02,11.926667213439941
2022-08-03,12.19333267211914
2022-08-04,11.313332557678223
2022-08-05,11.533332824707031
2022-08-08,11.466667175292969
2022-08-09,11.15999984741211
2022-08-10,11.713333129882812
2022-08-11,11.766667366027832
2022-08-12,11.993332862854004
2022-08-15,12.100000381469727
2022-08-16,12.079999923706055
2022-08-17,11.713333129882812
2022-08-18,11.69333267211914
2022-08-19,11.359999656677246
2022-08-22,10.986666679382324
2022-08-23,10.9399995803833
2022-08-24,11.173333168029785
2022-08-25,11.313332557678223
2022-08-26,10.600000381469727
2022-08-29,10.606666564941406
2022-08-30,10.420000076293945
2022-08-31,10.366666793823242
2022-09-01,10.293333053588867
2022-09-02,10.133333206176758
2022-09-06,10.100000381469727
2022-09-07,10.353333473205566
2022-09-08,10.420000076293945
2022-09-09,10.726667404174805
2022-09-12,10.800000190734863
2022-09-13,10.34000015258789
2022-09-14,10.300000190734863
2022-09-15,10.106666564941406
2022-09-16,9.960000038146973
2022-09-19,10.113332748413086
2022-09-20,9.979999542236328
2022-09-21,9.846667289733887
2022-09-22,9.58666706085205
2022-09-23,9.30666732788086
2022-09-26,8.993332862854004
2022-09-27,9.013333320617676
2022-09-28,9.359999656677246
2022-09-29,9.113332748413086
2022-09-30,8.846667289733887
2022-10-03,9.239999771118164
2022-10-04,9.926667213439941
2022-10-05,9.880000114440918
2022-10-06,9.619999885559082
2022-10-07,9.393333435058594
2022-10-10,9.373332977294922
2022-10-11,9.319999694824219
2022-10-12,9.133333206176758
2022-10-13,9.446666717529297
2022-10-14,9.466667175292969
2022-10-17,9.813332557678223
2022-10-18,10.013333320617676
2022-10-19,9.933333396911621
2022-10-20,9.793333053588867
2022-10-21,10.073332786560059
2022-10-24,10.199999809265137
2022-10-25,10.613332748413086
2022-10-26,10.726667404174805
2022-10-27,10.826666831970215
2022-10-28,11.073332786560059
2022-10-31,10.993332862854004
2022-11-01,11.006667137145996
2022-11-02,10.513333320617676
2022-11-03,11.34000015258789
2022-11-04,11.633333206176758
2022-11-07,11.786666870117188
2022-11-08,11.846667289733887
2022-11-09,11.673333168029785
2022-11-10,12.373332977294922
2022-11-11,12.65999984741211
2022-11-14,12.779999732971191
2022-11-15,12.606666564941406
2022-11-16,12.526666641235352
2022-11-17,12.533332824707031
2022-11-18,12.626667022705078
2022-11-21,12.319999694824219
2022-11-22,12.640000343322754
2022-11-23,12.466667175292969
2022-11-25,12.526666641235352
2022-11-28,12.353333473205566
2022-11-29,12.380000114440918
2022-11-30,12.813332557678223
2022-12-01,12.886667251586914
2022-12-02,12.926667213439941
2022-12-05,12.733332633972168
2022-12-06,12.613332748413086
2022-12-07,12.506667137145996
2022-12-08,12.653332710266113
2022-12-09,12.460000038146973
2022-12-12,12.533332824707031
2022-12-13,12.813332557678223
2022-12-14,12.833333015441895
2022-12-15,12.453332901000977
2022-12-16,12.41333293914795
2022-12-19,12.366666793823242
2022-12-20,12.319999694824219
2022-12-21,12.533332824707031
2022-12-22,12.333333015441895
2022-12-23,12.399999618530273
2022-12-27,12.266667366027832
2022-12-28,12.166666984558105
2022-12-29,12.59333324432373
2022-12-30,12.539999961853027
2023-01-03,12.446666717529297
2023-01-04,12.486666679382324
2023-01-05,12.300000190734863
2023-01-06,12.720000267028809
2023-01-09,12.633333206176758
2023-01-10,12.760000228881836
2023-01-11,13.09333324432373
2023-01-12,13.699999809265137
2023-01-13,13.80666732788086
2023-01-17,13.733332633972168
2023-01-18,13.233332633972168
2023-01-19,12.846667289733887
2023-01-20,13.273332595825195
2023-01-23,13.74666690826416
2023-01-24,13.866666793823242
2023-01-25,14.006667137145996
2023-01-26,14.100000381469727
2023-01-27,14.359999656677246
2023-01-30,14.380000114440918
2023-01-31,14.826666831970215
2023-02-01,14.813332557678223
2023-02-02,15.180000305175781
2023-02-03,14.866666793823242
2023-02-06,14.466667175292969
2023-02-07,14.733332633972168
2023-02-08,14.74666690826416
2023-02-09,14.420000076293945
