Date,GPK
2010-09-20,2.634035110473633
2010-09-21,2.6258552074432373
2010-09-22,2.609494686126709
2010-09-23,2.5685935020446777
2010-09-24,2.6994776725769043
2010-09-27,2.6503961086273193
2010-09-28,2.773099660873413
2010-09-29,2.7158374786376953
2010-09-30,2.7321977615356445
2010-10-01,2.781280517578125
2010-10-04,2.6994776725769043
2010-10-05,2.7567381858825684
2010-10-06,2.707657814025879
2010-10-07,2.7403783798217773
2010-10-08,2.797640085220337
2010-10-11,2.797640085220337
2010-10-12,2.7567381858825684
2010-10-13,2.8385415077209473
2010-10-14,2.8221805095672607
2010-10-15,2.8549015522003174
2010-10-18,2.8794422149658203
2010-10-19,2.8058202266693115
2010-10-20,2.8794422149658203
2010-10-21,2.797640085220337
2010-10-22,2.8549015522003174
2010-10-25,2.8549015522003174
