Date,DBRG
2015-03-25,60.8184814453125
2015-03-26,60.43045425415039
2015-03-27,60.585662841796875
2015-03-30,60.689144134521484
2015-03-31,60.37872314453125
2015-04-01,62.08607864379883
2015-04-02,61.51696014404297
2015-04-06,61.77564239501953
2015-04-07,60.97370910644531
2015-04-08,60.97370910644531
2015-04-09,58.69723129272461
2015-04-10,57.53312301635742
2015-04-13,55.127262115478516
2015-04-14,58.076358795166016
2015-04-15,50.60014724731445
2015-04-16,52.902523040771484
2015-04-17,52.281646728515625
2015-04-20,53.39402770996094
2015-04-21,54.506412506103516
2015-04-22,55.127262115478516
2015-04-23,55.7222785949707
2015-04-24,55.82572937011719
2015-04-27,55.7222785949707
2015-04-28,55.7222785949707
2015-04-29,55.64466857910156
2015-04-30,54.402931213378906
2015-05-01,55.43769454956055
