Date,MAS
2015-08-25,21.45189094543457
2015-08-26,22.193103790283203
2015-08-27,22.658510208129883
2015-08-28,22.658510208129883
2015-08-31,22.606800079345703
2015-09-01,22.098299026489258
2015-09-02,22.580942153930664
2015-09-03,22.91707420349121
2015-09-04,22.606800079345703
2015-09-08,23.063589096069336
2015-09-09,22.925689697265625
2015-09-10,23.14116096496582
2015-09-11,23.365243911743164
2015-09-14,23.356624603271484
2015-09-15,23.701372146606445
2015-09-16,23.744462966918945
2015-09-17,23.744462966918945
2015-09-18,23.49452781677246
2015-09-21,23.5203800201416
2015-09-22,23.003263473510742
2015-09-23,22.88259506225586
2015-09-24,22.667133331298828
2015-09-25,22.57232666015625
2015-09-28,22.0810604095459
2015-09-29,21.184717178344727
2015-09-30,21.70183753967285
2015-10-01,22.12415313720703
2015-10-02,22.3223819732666
2015-10-05,22.805030822753906
2015-10-06,22.865360260009766
2015-10-07,23.16377067565918
2015-10-08,23.16377067565918
2015-10-09,23.362714767456055
2015-10-12,23.4492130279541
2015-10-13,23.034025192260742
2015-10-14,22.618844985961914
2015-10-15,22.817787170410156
2015-10-16,22.85238265991211
2015-10-19,22.964824676513672
2015-10-20,23.068628311157227
2015-10-21,23.224323272705078
2015-10-22,23.898988723754883
2015-10-23,23.84709930419922
2015-10-26,23.873046875
2015-10-27,24.530420303344727
2015-10-28,25.30023193359375
2015-10-29,24.80720329284668
2015-10-30,25.08399200439453
2015-11-02,25.386734008789062
2015-11-03,25.429977416992188
2015-11-04,25.101287841796875
2015-11-05,25.30023193359375
2015-11-06,24.73801040649414
2015-11-09,24.573659896850586
2015-11-10,24.91099739074707
2015-11-11,25.222387313842773
2015-11-12,24.79855728149414
2015-11-13,24.478519439697266
2015-11-16,24.893707275390625
2015-11-17,25.360782623291016
2015-11-18,25.810564041137695
2015-11-19,25.90571403503418
2015-11-20,26.11330223083496
2015-11-23,26.087356567382812
2015-11-24,26.11330223083496
2015-11-25,26.38144874572754
2015-11-27,26.165203094482422
2015-11-30,25.87111473083496
2015-12-01,26.312246322631836
2015-12-02,26.096010208129883
2015-12-03,25.525127410888672
2015-12-04,25.966262817382812
2015-12-07,25.897066116333008
2015-12-08,25.732715606689453
2015-12-09,25.34348487854004
2015-12-10,25.30023193359375
2015-12-11,25.04938507080078
2015-12-14,25.274288177490234
2015-12-15,24.919654846191406
2015-12-16,25.455928802490234
2015-12-17,24.5390682220459
2015-12-18,24.115232467651367
2015-12-21,24.253629684448242
2015-12-22,24.48716926574707
2015-12-23,24.547718048095703
2015-12-24,24.599613189697266
2015-12-28,24.660160064697266
2015-12-29,24.68610954284668
2015-12-30,24.573659896850586
2015-12-31,24.478519439697266
2016-01-04,24.046035766601562
2016-01-05,23.950891494750977
2016-01-06,23.7642765045166
2016-01-07,22.679351806640625
2016-01-08,22.158586502075195
2016-01-11,21.828771591186523
2016-01-12,22.14990997314453
2016-01-13,21.299325942993164
2016-01-14,21.655183792114258
2016-01-15,21.542348861694336
2016-01-19,21.446874618530273
2016-01-20,21.056303024291992
2016-01-21,21.620466232299805
2016-01-22,22.19330596923828
2016-01-25,22.01972007751465
2016-01-26,22.28009605407715
2016-01-27,22.36688804626465
2016-01-28,22.063112258911133
2016-01-29,22.905019760131836
2016-02-01,22.800865173339844
2016-02-02,21.75933074951172
2016-02-03,21.924238204956055
2016-02-04,22.03708267211914
2016-02-05,21.091012954711914
2016-02-08,20.3619441986084
2016-02-09,22.03708267211914
2016-02-10,22.1412296295166
2016-02-11,21.67253875732422
2016-02-12,22.41029167175293
2016-02-16,22.939739227294922
2016-02-17,23.63408660888672
2016-02-18,23.46050262451172
2016-02-19,23.972591400146484
2016-02-22,24.120145797729492
2016-02-23,24.614864349365234
2016-02-24,24.892608642578125
2016-02-25,25.09222984313965
2016-02-26,24.944686889648438
2016-02-29,24.476001739501953
