Date,SNX
2010-09-29,11.506102561950684
2010-09-30,12.501222610473633
2010-10-01,12.4834566116333
2010-10-04,12.190247535705566
2010-10-05,12.416816711425781
2010-10-06,12.394600868225098
2010-10-07,12.38127613067627
2010-10-08,12.54120922088623
2010-10-11,12.550088882446289
2010-10-12,12.59451675415039
2010-10-13,12.821084022521973
2010-10-14,12.776659965515137
2010-10-15,12.763333320617676
2010-10-18,12.901045799255371
2010-10-19,12.710022926330566
2010-10-20,12.927704811096191
2010-10-21,13.03876781463623
2010-10-22,13.167598724365234
2010-10-25,13.185369491577148
2010-10-26,13.114290237426758
2010-10-27,13.020994186401367
2010-10-28,13.012114524841309
2010-10-29,12.901045799255371
2010-11-01,12.972129821777344
2010-11-02,13.283106803894043
2010-11-03,13.207579612731934
