Date,CIEN
2018-07-05,26.969999313354492
2018-07-06,27.170000076293945
2018-07-09,27.3700008392334
2018-07-10,27.479999542236328
2018-07-11,27.139999389648438
2018-07-12,27.350000381469727
2018-07-13,26.989999771118164
2018-07-16,26.860000610351562
2018-07-17,26.950000762939453
2018-07-18,26.200000762939453
2018-07-19,26.020000457763672
2018-07-20,25.829999923706055
2018-07-23,25.75
2018-07-24,25.780000686645508
2018-07-25,25.739999771118164
2018-07-26,25.860000610351562
2018-07-27,25.360000610351562
2018-07-30,25.3700008392334
2018-07-31,25.399999618530273
2018-08-01,25.360000610351562
2018-08-02,25.43000030517578
2018-08-03,25.530000686645508
2018-08-06,25.68000030517578
2018-08-07,25.84000015258789
2018-08-08,25.889999389648438
2018-08-09,26.0
2018-08-10,26.09000015258789
2018-08-13,26.09000015258789
2018-08-14,26.229999542236328
2018-08-15,26.010000228881836
2018-08-16,26.329999923706055
2018-08-17,26.579999923706055
2018-08-20,26.719999313354492
2018-08-21,27.270000457763672
2018-08-22,27.329999923706055
2018-08-23,27.420000076293945
2018-08-24,27.709999084472656
2018-08-27,27.989999771118164
2018-08-28,27.3799991607666
2018-08-29,27.309999465942383
2018-08-30,30.709999084472656
2018-08-31,31.579999923706055
2018-09-04,32.06999969482422
2018-09-05,31.34000015258789
2018-09-06,30.950000762939453
2018-09-07,30.899999618530273
2018-09-10,31.559999465942383
2018-09-11,31.299999237060547
2018-09-12,31.639999389648438
2018-09-13,31.1200008392334
2018-09-14,31.059999465942383
2018-09-17,30.790000915527344
2018-09-18,30.690000534057617
2018-09-19,30.350000381469727
2018-09-20,30.989999771118164
2018-09-21,31.040000915527344
2018-09-24,31.34000015258789
2018-09-25,31.31999969482422
2018-09-26,30.889999389648438
2018-09-27,31.010000228881836
2018-09-28,31.239999771118164
2018-10-01,29.670000076293945
2018-10-02,29.760000228881836
2018-10-03,30.309999465942383
2018-10-04,29.93000030517578
2018-10-05,29.59000015258789
2018-10-08,29.219999313354492
2018-10-09,29.0
2018-10-10,28.579999923706055
2018-10-11,28.239999771118164
2018-10-12,29.030000686645508
2018-10-15,29.389999389648438
2018-10-16,30.84000015258789
2018-10-17,30.770000457763672
2018-10-18,30.979999542236328
2018-10-19,30.739999771118164
2018-10-22,30.959999084472656
2018-10-23,30.889999389648438
2018-10-24,29.6299991607666
2018-10-25,30.06999969482422
2018-10-26,29.639999389648438
2018-10-29,29.719999313354492
2018-10-30,30.3700008392334
2018-10-31,31.260000228881836
2018-11-01,31.549999237060547
2018-11-02,32.02000045776367
2018-11-05,33.63999938964844
2018-11-06,34.040000915527344
2018-11-07,34.72999954223633
2018-11-08,34.66999816894531
2018-11-09,34.43000030517578
2018-11-12,33.400001525878906
2018-11-13,33.310001373291016
2018-11-14,32.939998626708984
2018-11-15,33.849998474121094
2018-11-16,33.689998626708984
2018-11-19,32.470001220703125
2018-11-20,30.639999389648438
2018-11-21,30.920000076293945
2018-11-23,31.079999923706055
2018-11-26,31.5
2018-11-27,31.389999389648438
2018-11-28,32.72999954223633
2018-11-29,32.459999084472656
2018-11-30,32.619998931884766
2018-12-03,33.13999938964844
2018-12-04,31.450000762939453
2018-12-06,32.2400016784668
2018-12-07,31.280000686645508
2018-12-10,31.860000610351562
2018-12-11,31.59000015258789
2018-12-12,32.13999938964844
2018-12-13,34.90999984741211
2018-12-14,34.54999923706055
2018-12-17,33.0
2018-12-18,33.18000030517578
2018-12-19,33.029998779296875
2018-12-20,32.90999984741211
2018-12-21,31.709999084472656
2018-12-24,30.969999313354492
2018-12-26,32.61000061035156
2018-12-27,32.41999816894531
2018-12-28,33.099998474121094
2018-12-31,33.90999984741211
2019-01-02,33.939998626708984
2019-01-03,32.869998931884766
2019-01-04,34.560001373291016
2019-01-07,35.59000015258789
2019-01-08,36.650001525878906
2019-01-09,36.560001373291016
2019-01-10,36.900001525878906
2019-01-11,36.66999816894531
2019-01-14,36.630001068115234
2019-01-15,37.630001068115234
2019-01-16,37.7599983215332
2019-01-17,38.040000915527344
2019-01-18,38.5
2019-01-22,38.380001068115234
2019-01-23,38.2599983215332
2019-01-24,39.4900016784668
2019-01-25,39.959999084472656
2019-01-28,39.29999923706055
2019-01-29,39.400001525878906
2019-01-30,37.58000183105469
2019-01-31,38.09000015258789
2019-02-01,38.29999923706055
2019-02-04,37.97999954223633
2019-02-05,37.90999984741211
2019-02-06,37.959999084472656
2019-02-07,37.279998779296875
2019-02-08,37.880001068115234
2019-02-11,38.70000076293945
2019-02-12,38.84000015258789
2019-02-13,39.099998474121094
2019-02-14,39.709999084472656
2019-02-15,40.209999084472656
2019-02-19,41.790000915527344
2019-02-20,42.209999084472656
2019-02-21,42.349998474121094
2019-02-22,43.56999969482422
2019-02-25,43.68000030517578
2019-02-26,43.09000015258789
2019-02-27,42.900001525878906
2019-02-28,42.65999984741211
2019-03-01,42.7599983215332
2019-03-04,42.79999923706055
2019-03-05,40.709999084472656
2019-03-06,39.970001220703125
2019-03-07,38.689998626708984
2019-03-08,39.0099983215332
2019-03-11,40.22999954223633
2019-03-12,39.790000915527344
2019-03-13,39.43000030517578
2019-03-14,39.27000045776367
2019-03-15,39.43000030517578
2019-03-18,39.119998931884766
2019-03-19,39.15999984741211
2019-03-20,37.91999816894531
2019-03-21,38.529998779296875
2019-03-22,37.060001373291016
2019-03-25,37.290000915527344
2019-03-26,37.29999923706055
2019-03-27,37.150001525878906
2019-03-28,37.06999969482422
2019-03-29,37.34000015258789
2019-04-01,37.77000045776367
2019-04-02,37.91999816894531
2019-04-03,38.119998931884766
2019-04-04,37.4900016784668
2019-04-05,37.310001373291016
2019-04-08,37.2400016784668
2019-04-09,37.369998931884766
2019-04-10,37.349998474121094
2019-04-11,37.08000183105469
2019-04-12,37.9900016784668
2019-04-15,38.400001525878906
2019-04-16,38.70000076293945
2019-04-17,38.2400016784668
2019-04-18,38.18000030517578
2019-04-22,38.72999954223633
2019-04-23,39.869998931884766
2019-04-24,40.040000915527344
2019-04-25,39.060001373291016
2019-04-26,38.220001220703125
2019-04-29,38.619998931884766
2019-04-30,38.36000061035156
2019-05-01,38.369998931884766
2019-05-02,39.0
2019-05-03,38.790000915527344
2019-05-06,37.040000915527344
2019-05-07,36.15999984741211
2019-05-08,36.150001525878906
2019-05-09,35.220001220703125
2019-05-10,35.06999969482422
2019-05-13,33.18000030517578
2019-05-14,33.209999084472656
2019-05-15,33.29999923706055
2019-05-16,34.040000915527344
2019-05-17,34.61000061035156
2019-05-20,34.65999984741211
2019-05-21,34.86000061035156
2019-05-22,35.25
2019-05-23,35.33000183105469
2019-05-24,35.189998626708984
2019-05-28,35.060001373291016
2019-05-29,35.08000183105469
2019-05-30,35.470001220703125
2019-05-31,34.939998626708984
2019-06-03,34.720001220703125
2019-06-04,35.630001068115234
2019-06-05,35.880001068115234
2019-06-06,45.4900016784668
2019-06-07,45.22999954223633
2019-06-10,44.09000015258789
2019-06-11,44.02000045776367
2019-06-12,43.0099983215332
2019-06-13,42.470001220703125
2019-06-14,42.75
2019-06-17,43.29999923706055
2019-06-18,44.29999923706055
2019-06-19,44.060001373291016
2019-06-20,44.33000183105469
2019-06-21,43.52000045776367
2019-06-24,42.7400016784668
2019-06-25,42.18000030517578
2019-06-26,41.68000030517578
2019-06-27,41.599998474121094
2019-06-28,41.130001068115234
2019-07-01,41.970001220703125
2019-07-02,42.209999084472656
2019-07-03,43.13999938964844
2019-07-05,42.9900016784668
2019-07-08,42.09000015258789
2019-07-09,43.290000915527344
2019-07-10,43.119998931884766
2019-07-11,44.0
2019-07-12,44.08000183105469
2019-07-15,44.189998626708984
2019-07-16,44.36000061035156
2019-07-17,44.11000061035156
2019-07-18,43.869998931884766
2019-07-19,43.040000915527344
2019-07-22,43.060001373291016
2019-07-23,43.849998474121094
2019-07-24,44.91999816894531
2019-07-25,45.619998931884766
2019-07-26,45.939998626708984
2019-07-29,45.95000076293945
2019-07-30,45.630001068115234
2019-07-31,45.220001220703125
2019-08-01,44.40999984741211
2019-08-02,42.810001373291016
2019-08-05,41.25
