Date,UFPI
2010-07-29,8.814469337463379
2010-07-30,8.724323272705078
2010-08-02,9.076452255249023
2010-08-03,8.924333572387695
2010-08-04,9.006026268005371
2010-08-05,8.814469337463379
2010-08-06,8.71024227142334
2010-08-09,8.907429695129395
2010-08-10,8.552488327026367
2010-08-11,8.177821159362793
2010-08-12,8.217262268066406
2010-08-13,8.141200065612793
2010-08-16,8.296138763427734
2010-08-17,8.406002044677734
2010-08-18,8.417269706726074
2010-08-19,8.146836280822754
2010-08-20,8.107394218444824
2010-08-23,7.631319046020508
2010-08-24,7.66793966293335
2010-08-25,7.721467018127441
2010-08-26,7.634137153625488
2010-08-27,7.9383769035339355
2010-08-30,7.476381778717041
2010-08-31,7.301728248596191
2010-09-01,7.580613613128662
2010-09-02,7.805976867675781
2010-09-03,7.9778151512146
2010-09-07,7.6876630783081055
2010-09-08,7.822876453399658
2010-09-09,7.749634742736816
2010-09-10,7.825695514678955
2010-09-13,8.115849494934082
2010-09-14,8.022883415222168
2010-09-15,8.03133773803711
2010-09-16,7.738365173339844
2010-09-17,7.7440009117126465
2010-09-20,8.093310356140137
2010-09-21,8.16937255859375
2010-09-22,8.067960739135742
2010-09-23,7.873581886291504
2010-09-24,8.191905975341797
2010-09-27,8.084859848022461
2010-09-28,8.146836280822754
