Date,HLMN
2021-09-07,11.75
2021-09-08,11.989999771118164
2021-09-09,12.020000457763672
2021-09-10,12.470000267028809
2021-09-13,12.4399995803833
2021-09-14,12.539999961853027
2021-09-15,12.569999694824219
2021-09-16,12.390000343322754
2021-09-17,12.25
2021-09-20,11.84000015258789
2021-09-21,12.069999694824219
2021-09-22,11.90999984741211
2021-09-23,12.039999961853027
2021-09-24,12.0
2021-09-27,12.020000457763672
2021-09-28,11.859999656677246
2021-09-29,11.960000038146973
2021-09-30,11.930000305175781
2021-10-01,11.6899995803833
2021-10-04,11.390000343322754
2021-10-05,11.449999809265137
2021-10-06,11.029999732971191
2021-10-07,11.130000114440918
2021-10-08,11.010000228881836
2021-10-11,10.930000305175781
2021-10-12,10.920000076293945
2021-10-13,10.970000267028809
