Date,FBP
2010-09-27,3.5487453937530518
2010-09-28,3.6711137294769287
2010-09-29,3.6711137294769287
2010-09-30,3.4263739585876465
2010-10-01,3.4263739585876465
2010-10-04,3.304003953933716
2010-10-05,3.4263739585876465
2010-10-06,3.4263739585876465
2010-10-07,3.5487453937530518
2010-10-08,3.4263739585876465
2010-10-11,3.304003953933716
2010-10-12,3.304003953933716
2010-10-13,3.4263739585876465
2010-10-14,3.915858030319214
2010-10-15,3.915858030319214
2010-10-18,3.915858030319214
2010-10-19,3.6711137294769287
2010-10-20,3.6711137294769287
2010-10-21,3.5487453937530518
2010-10-22,3.4263739585876465
2010-10-25,3.6711137294769287
2010-10-26,3.5487453937530518
2010-10-27,3.5487453937530518
2010-10-28,3.5487453937530518
2010-10-29,3.793484926223755
2010-11-01,3.6711137294769287
