Date,CASH
2010-09-28,9.052912712097168
2010-09-29,9.052912712097168
2010-09-30,9.052912712097168
2010-10-01,8.939751625061035
2010-10-04,8.996330261230469
2010-10-05,9.052912712097168
2010-10-06,9.052912712097168
2010-10-07,9.137784957885742
2010-10-08,9.299036979675293
2010-10-11,9.265090942382812
2010-10-12,9.400883674621582
2010-10-13,6.294602394104004
2010-10-14,5.881563186645508
2010-10-15,5.361021518707275
2010-10-18,4.1615095138549805
2010-10-19,3.759788990020752
2010-10-20,3.9182140827178955
2010-10-21,4.034204006195068
2010-10-22,4.003085136413574
2010-10-25,3.9493327140808105
2010-10-26,3.9238712787628174
2010-10-27,3.847487449645996
2010-10-28,3.6834025382995605
2010-10-29,3.621164560317993
2010-11-01,3.6494557857513428
2010-11-02,3.799394369125366
