Date,HG
2024-08-15,19.1299991607666
2024-08-16,19.860000610351562
2024-08-19,19.049999237060547
2024-08-20,19.290000915527344
2024-08-21,19.06999969482422
2024-08-22,19.190000534057617
2024-08-23,19.68000030517578
2024-08-26,19.299999237060547
2024-08-27,19.440000534057617
2024-08-28,19.399999618530273
2024-08-29,19.700000762939453
2024-08-30,19.579999923706055
2024-09-03,19.329999923706055
2024-09-04,19.299999237060547
2024-09-05,19.329999923706055
2024-09-06,19.25
2024-09-09,19.079999923706055
2024-09-10,18.719999313354492
2024-09-11,18.3799991607666
2024-09-12,18.489999771118164
2024-09-13,17.860000610351562
2024-09-16,17.799999237060547
2024-09-17,18.190000534057617
2024-09-18,18.540000915527344
2024-09-19,18.459999084472656
2024-09-20,18.520000457763672
2024-09-23,18.510000228881836
