Date,MITK
2012-02-15,10.90999984741211
2012-02-16,11.529999732971191
2012-02-17,11.199999809265137
2012-02-21,11.4399995803833
2012-02-22,11.050000190734863
2012-02-23,10.850000381469727
2012-02-24,11.779999732971191
2012-02-27,11.510000228881836
2012-02-28,11.100000381469727
2012-02-29,10.399999618530273
2012-03-01,11.050000190734863
2012-03-02,11.600000381469727
2012-03-05,11.359999656677246
2012-03-06,11.90999984741211
2012-03-07,11.680000305175781
2012-03-08,12.579999923706055
2012-03-09,12.149999618530273
2012-03-12,12.109999656677246
2012-03-13,12.029999732971191
2012-03-14,11.779999732971191
2012-03-15,11.9399995803833
2012-03-16,12.140000343322754
2012-03-19,11.699999809265137
2012-03-20,11.149999618530273
2012-03-21,11.489999771118164
2012-03-22,11.359999656677246
2012-03-23,11.619999885559082
2012-03-26,12.5600004196167
2012-03-27,12.369999885559082
2012-03-28,12.390000343322754
2012-03-29,11.949999809265137
2012-03-30,11.600000381469727
2012-04-02,9.369999885559082
2012-04-03,8.34000015258789
2012-04-04,8.029999732971191
2012-04-05,7.349999904632568
2012-04-09,6.369999885559082
2012-04-10,6.019999980926514
2012-04-11,6.340000152587891
2012-04-12,6.090000152587891
2012-04-13,6.010000228881836
2012-04-16,5.78000020980835
2012-04-17,6.070000171661377
2012-04-18,5.699999809265137
2012-04-19,5.510000228881836
2012-04-20,5.599999904632568
2012-04-23,5.570000171661377
2012-04-24,5.409999847412109
2012-04-25,5.880000114440918
2012-04-26,6.230000019073486
2012-04-27,6.059999942779541
2012-04-30,5.659999847412109
2012-05-01,5.690000057220459
2012-05-02,5.78000020980835
2012-05-03,2.5299999713897705
2012-05-04,2.799999952316284
2012-05-07,2.6500000953674316
2012-05-08,2.640000104904175
2012-05-09,2.9200000762939453
2012-05-10,2.8499999046325684
2012-05-11,2.759999990463257
2012-05-14,2.7100000381469727
2012-05-15,2.619999885559082
2012-05-16,2.380000114440918
2012-05-17,2.109999895095825
2012-05-18,2.0199999809265137
2012-05-21,2.0799999237060547
2012-05-22,2.0999999046325684
2012-05-23,2.25
2012-05-24,2.1600000858306885
2012-05-25,2.380000114440918
2012-05-29,2.3499999046325684
2012-05-30,2.190000057220459
2012-05-31,2.119999885559082
2012-06-01,1.9800000190734863
2012-06-04,2.109999895095825
2012-06-05,2.180000066757202
2012-06-06,2.369999885559082
2012-06-07,2.299999952316284
2012-06-08,2.390000104904175
2012-06-11,2.4000000953674316
2012-06-12,2.4000000953674316
2012-06-13,2.7200000286102295
2012-06-14,2.740000009536743
2012-06-15,2.940000057220459
