Date,ED
2010-09-29,27.23076057434082
2010-09-30,27.11269187927246
2010-10-01,27.174543380737305
2010-10-04,27.028350830078125
2010-10-05,27.219524383544922
2010-10-06,27.0958194732666
2010-10-07,27.084564208984375
2010-10-08,27.140806198120117
2010-10-11,27.118322372436523
2010-10-12,27.11269187927246
2010-10-13,27.1014461517334
2010-10-14,27.24201202392578
2010-10-15,27.326351165771484
2010-10-18,27.601863861083984
2010-10-19,27.46129035949707
2010-10-20,27.61311149597168
2010-10-21,27.48377799987793
2010-10-22,27.618728637695312
2010-10-25,27.663719177246094
2010-10-26,27.80989646911621
2010-10-27,27.967363357543945
2010-10-28,28.02918815612793
2010-10-29,27.95608139038086
2010-11-01,27.922353744506836
2010-11-02,28.523996353149414
2010-11-03,28.389036178588867
2010-11-04,28.60833740234375
