Date,HIG
2010-09-29,17.22047233581543
2010-09-30,16.932723999023438
2010-10-01,17.27950096130371
2010-10-04,17.154067993164062
2010-10-05,17.53772735595703
2010-10-06,17.515600204467773
2010-10-07,17.257368087768555
2010-10-08,17.641027450561523
2010-10-11,17.729555130004883
2010-10-12,17.995168685913086
2010-10-13,18.08370590209961
2010-10-14,17.95827865600586
2010-10-15,17.508220672607422
2010-10-18,17.89926528930664
2010-10-19,17.36065673828125
2010-10-20,17.515600204467773
2010-10-21,17.854990005493164
2010-10-22,17.670536041259766
2010-10-25,18.127975463867188
2010-10-26,18.437862396240234
2010-10-27,18.105844497680664
2010-10-28,17.736942291259766
2010-10-29,17.670536041259766
2010-11-01,17.493467330932617
2010-11-02,17.27950096130371
2010-11-03,18.86578941345215
2010-11-04,19.367496490478516
