Date,INFA
2022-08-02,22.350000381469727
2022-08-03,22.8700008392334
2022-08-04,23.34000015258789
2022-08-05,23.469999313354492
2022-08-08,22.850000381469727
2022-08-09,22.559999465942383
2022-08-10,23.489999771118164
2022-08-11,23.149999618530273
2022-08-12,23.100000381469727
2022-08-15,23.719999313354492
2022-08-16,23.510000228881836
2022-08-17,23.65999984741211
2022-08-18,22.979999542236328
2022-08-19,22.360000610351562
2022-08-22,22.850000381469727
2022-08-23,22.270000457763672
2022-08-24,22.420000076293945
2022-08-25,23.200000762939453
2022-08-26,22.670000076293945
2022-08-29,22.110000610351562
2022-08-30,22.110000610351562
2022-08-31,22.06999969482422
2022-09-01,21.549999237060547
2022-09-02,21.170000076293945
2022-09-06,21.719999313354492
2022-09-07,21.549999237060547
