Date,CUBE
2010-09-24,5.040416240692139
2010-09-27,4.929316997528076
2010-09-28,4.999485492706299
2010-09-29,4.911772727966309
2010-09-30,4.882537364959717
2010-10-01,4.88838529586792
2010-10-04,4.847455024719238
2010-10-05,5.049797058105469
2010-10-06,5.002878189086914
2010-10-07,4.967686176300049
2010-10-08,4.9442267417907715
2010-10-11,4.973552703857422
2010-10-12,4.991147994995117
2010-10-13,5.0380682945251465
2010-10-14,5.061527729034424
2010-10-15,5.002878189086914
2010-10-18,5.090854167938232
2010-10-19,5.026336669921875
2010-10-20,5.090854167938232
2010-10-21,5.0439348220825195
2010-10-22,5.131906986236572
2010-10-25,5.13777494430542
2010-10-26,5.073256492614746
2010-10-27,5.0439348220825195
2010-10-28,4.961822509765625
2010-10-29,5.049797058105469
2010-11-01,5.102583408355713
