Date,PRTA
2015-09-02,56.38999938964844
2015-09-03,52.70000076293945
2015-09-04,53.630001068115234
2015-09-08,56.40999984741211
2015-09-09,54.790000915527344
2015-09-10,57.630001068115234
2015-09-11,59.970001220703125
2015-09-14,59.2400016784668
2015-09-15,59.91999816894531
2015-09-16,60.369998931884766
2015-09-17,63.040000915527344
2015-09-18,64.4800033569336
2015-09-21,58.95000076293945
2015-09-22,56.310001373291016
2015-09-23,56.310001373291016
2015-09-24,56.959999084472656
2015-09-25,51.119998931884766
2015-09-28,44.31999969482422
2015-09-29,43.43000030517578
2015-09-30,45.34000015258789
2015-10-01,45.38999938964844
2015-10-02,49.540000915527344
2015-10-05,47.0
2015-10-06,44.459999084472656
2015-10-07,44.959999084472656
2015-10-08,43.400001525878906
2015-10-09,44.689998626708984
2015-10-12,45.220001220703125
2015-10-13,43.310001373291016
2015-10-14,44.11000061035156
2015-10-15,48.88999938964844
2015-10-16,48.06999969482422
2015-10-19,49.02000045776367
2015-10-20,46.84000015258789
2015-10-21,47.22999954223633
2015-10-22,47.099998474121094
2015-10-23,49.31999969482422
2015-10-26,50.11000061035156
2015-10-27,51.95000076293945
2015-10-28,54.310001373291016
2015-10-29,52.45000076293945
2015-10-30,51.5099983215332
2015-11-02,55.04999923706055
2015-11-03,57.13999938964844
2015-11-04,59.529998779296875
2015-11-05,59.27000045776367
2015-11-06,61.58000183105469
2015-11-09,61.119998931884766
2015-11-10,58.93000030517578
2015-11-11,59.79999923706055
2015-11-12,59.56999969482422
2015-11-13,66.26000213623047
2015-11-16,67.29000091552734
2015-11-17,65.0999984741211
2015-11-18,69.02999877929688
2015-11-19,70.48999786376953
2015-11-20,70.62000274658203
2015-11-23,70.04000091552734
2015-11-24,73.19999694824219
2015-11-25,73.19000244140625
2015-11-27,75.30999755859375
2015-11-30,70.54000091552734
2015-12-01,70.16999816894531
2015-12-02,69.16000366210938
2015-12-03,65.33999633789062
2015-12-04,65.68000030517578
2015-12-07,63.54999923706055
2015-12-08,68.25
2015-12-09,65.4000015258789
2015-12-10,68.5
