Date,COLD
2018-10-15,19.824798583984375
2018-10-16,20.053613662719727
2018-10-17,20.06178092956543
2018-10-18,19.76759910583496
2018-10-19,19.96372413635254
2018-10-22,20.020925521850586
2018-10-23,19.906517028808594
2018-10-24,20.01275062561035
2018-10-25,20.2252197265625
2018-10-26,20.192533493041992
2018-10-29,20.28242301940918
2018-10-30,20.249736785888672
2018-10-31,20.2252197265625
2018-11-01,20.241565704345703
2018-11-02,19.971895217895508
2018-11-05,20.29876708984375
2018-11-06,20.2252197265625
2018-11-07,20.380483627319336
2018-11-08,20.34779930114746
2018-11-09,21.540882110595703
2018-11-12,21.377443313598633
2018-11-13,21.22217559814453
2018-11-14,21.6798038482666
2018-11-15,21.49184799194336
2018-11-16,21.80237579345703
2018-11-19,21.573570251464844
2018-11-20,21.34476089477539
