Date,FCPT
2016-08-08,13.954984664916992
2016-08-09,13.948512077331543
2016-08-10,14.006768226623535
2016-08-11,13.948512077331543
2016-08-12,14.103853225708008
2016-08-15,14.013237953186035
2016-08-16,13.767277717590332
2016-08-17,13.70255184173584
2016-08-18,13.598991394042969
2016-08-19,13.43717098236084
2016-08-22,13.333612442016602
2016-08-23,13.333612442016602
2016-08-24,13.3465576171875
2016-08-25,13.521317481994629
2016-08-26,13.24299430847168
2016-08-29,13.359500885009766
2016-08-30,13.223576545715332
2016-08-31,13.404810905456543
2016-09-01,13.327140808105469
2016-09-02,13.495429992675781
2016-09-06,13.78669261932373
2016-09-07,13.832008361816406
2016-09-08,13.78022575378418
2016-09-09,13.24299430847168
2016-09-12,13.353033065795898
2016-09-13,12.71871280670166
