Date,SMP
2010-09-27,7.468810081481934
2010-09-28,7.549276828765869
2010-09-29,7.673633575439453
2010-09-30,7.702897071838379
2010-10-01,7.776045322418213
2010-10-04,7.54196310043335
2010-10-05,7.915038585662842
2010-10-06,7.966238975524902
2010-10-07,7.666316986083984
2010-10-08,7.746784687042236
2010-10-11,7.988189220428467
2010-10-12,8.119861602783203
2010-10-13,7.812621116638184
2010-10-14,7.988189220428467
2010-10-15,7.695578098297119
2010-10-18,7.863829135894775
2010-10-19,7.571222305297852
2010-10-20,7.783361434936523
2010-10-21,7.805304527282715
2010-10-22,7.841886520385742
2010-10-25,7.966238975524902
2010-10-26,8.061342239379883
2010-10-27,8.105229377746582
2010-10-28,7.746784687042236
2010-10-29,7.776045322418213
2010-11-01,7.79067850112915
2010-11-02,8.770913124084473
