Date,EXC
2010-09-29,16.99481773376465
2010-09-30,16.89955711364746
2010-10-01,17.07816505432129
2010-10-04,16.951152801513672
2010-10-05,17.030532836914062
2010-10-06,17.006717681884766
2010-10-07,17.034509658813477
2010-10-08,17.145631790161133
2010-10-11,17.145631790161133
2010-10-12,17.07816505432129
2010-10-13,17.141664505004883
2010-10-14,17.07419204711914
2010-10-15,17.12578010559082
2010-10-18,17.46710968017578
2010-10-19,17.359949111938477
2010-10-20,17.57427406311035
2010-10-21,17.272640228271484
2010-10-22,16.669363021850586
2010-10-25,16.403451919555664
2010-10-26,16.312162399291992
2010-10-27,16.24468994140625
2010-10-28,16.2645320892334
2010-10-29,16.201034545898438
2010-11-01,16.2327823638916
2010-11-02,16.280412673950195
2010-11-03,16.173248291015625
