Date,GNTX
2010-09-27,7.229312419891357
2010-09-28,7.240586280822754
2010-09-29,7.285674571990967
2010-09-30,7.338278293609619
2010-10-01,7.409668922424316
2010-10-04,7.39077615737915
2010-10-05,7.6061506271362305
2010-10-06,7.587259769439697
2010-10-07,7.689281463623047
2010-10-08,7.7913007736206055
2010-10-11,7.779967308044434
2010-10-12,7.813972473144531
2010-10-13,7.957554340362549
2010-10-14,7.934882164001465
2010-10-15,8.067131042480469
2010-10-18,8.097359657287598
2010-10-19,8.002898216247559
2010-10-20,8.154035568237305
2010-10-21,7.897100448608398
2010-10-22,7.579702377319336
2010-10-25,7.46634578704834
2010-10-26,7.59481954574585
2010-10-27,7.48524284362793
2010-10-28,7.44367790222168
2010-10-29,7.549473285675049
2010-11-01,7.6288251876831055
2010-11-02,7.696837902069092
