Date,NWN
2010-09-29,26.6796932220459
2010-09-30,26.809642791748047
2010-10-01,27.080854415893555
2010-10-04,27.419849395751953
2010-10-05,28.030075073242188
2010-10-06,27.962257385253906
2010-10-07,27.917064666748047
2010-10-08,28.030075073242188
2010-10-11,28.024425506591797
2010-10-12,27.97356414794922
2010-10-13,28.41993522644043
2010-10-14,28.442514419555664
2010-10-15,28.46512222290039
2010-10-18,28.61202621459961
2010-10-19,28.284324645996094
2010-10-20,28.45946502685547
2010-10-21,28.23346519470215
2010-10-22,28.1826114654541
2010-10-25,28.397321701049805
2010-10-26,28.23346519470215
2010-10-27,28.299022674560547
2010-10-28,28.384517669677734
2010-10-29,28.093828201293945
2010-11-01,27.843032836914062
2010-11-02,28.264820098876953
2010-11-03,28.150821685791016
2010-11-04,28.5497989654541
