Date,DLX
2010-09-29,11.29170036315918
2010-09-30,11.203849792480469
2010-10-01,11.344412803649902
2010-10-04,11.00472354888916
2010-10-05,11.24484920501709
2010-10-06,11.127711296081543
2010-10-07,11.279985427856445
2010-10-08,11.496684074401855
2010-10-11,11.596247673034668
2010-10-12,11.719237327575684
2010-10-13,12.123353004455566
2010-10-14,12.023786544799805
2010-10-15,12.123353004455566
2010-10-18,12.304911613464355
2010-10-19,11.947649955749512
2010-10-20,12.146780014038086
2010-10-21,12.123353004455566
2010-10-22,12.205344200134277
2010-10-25,12.275628089904785
2010-10-26,12.304911613464355
2010-10-27,11.93593978881836
2010-10-28,11.29170036315918
2010-10-29,11.971075057983398
2010-11-01,11.9827880859375
2010-11-02,12.322481155395508
2010-11-03,12.796870231628418
2010-11-04,12.843722343444824
