Date,NAT
2012-03-29,5.47225284576416
2012-03-30,5.499960422515869
2012-04-02,5.441080570220947
2012-04-03,5.4203009605407715
2012-04-04,5.2921528816223145
2012-04-05,5.257517337799072
2012-04-09,5.129371643066406
2012-04-10,4.873077392578125
2012-04-11,4.987369537353516
2012-04-12,5.032392978668213
2012-04-13,4.928490161895752
2012-04-16,4.897319316864014
2012-04-17,4.963124752044678
2012-04-18,4.831514835357666
2012-04-19,4.814197540283203
2012-04-20,4.907710075378418
2012-04-23,4.783024787902832
2012-04-24,4.855757713317871
2012-04-25,4.942345142364502
2012-04-26,4.942345142364502
2012-04-27,5.022003650665283
2012-04-30,5.0289306640625
2012-05-01,5.004684925079346
2012-05-02,4.980441570281982
2012-05-03,4.776099681854248
2012-05-04,4.613317966461182
2012-05-07,4.606390476226807
2012-05-08,4.769172191619873
2012-05-09,4.789953231811523
2012-05-10,4.831514835357666
2012-05-11,4.8003435134887695
2012-05-14,4.758782863616943
2012-05-15,4.789953231811523
2012-05-16,4.658963203430176
2012-05-17,4.683746337890625
2012-05-18,4.634181976318359
2012-05-21,4.83597469329834
2012-05-22,4.694365501403809
2012-05-23,4.736849784851074
2012-05-24,4.67666482925415
2012-05-25,4.712067604064941
2012-05-29,4.736849784851074
2012-05-30,4.531515121459961
2012-05-31,4.439467906951904
2012-06-01,4.336801528930664
2012-06-04,4.3155598640441895
2012-06-05,4.3863654136657715
2012-06-06,4.697907447814941
2012-06-07,4.7191481590271
2012-06-08,4.740390777587891
2012-06-11,4.59877872467041
2012-06-12,4.58107852935791
2012-06-13,4.496111869812012
2012-06-14,4.5562968254089355
2012-06-15,4.605859279632568
2012-06-18,4.591699123382568
2012-06-19,4.736849784851074
2012-06-20,4.736849784851074
2012-06-21,4.591699123382568
2012-06-22,4.602318286895752
2012-06-25,4.510273456573486
2012-06-26,4.542134761810303
2012-06-27,4.58461856842041
2012-06-28,4.634181976318359
2012-06-29,4.804113864898682
2012-07-02,4.818274974822998
2012-07-03,4.89262056350708
2012-07-05,4.853678226470947
2012-07-06,4.832436561584473
2012-07-09,4.754551410675049
2012-07-10,4.648343563079834
2012-07-11,4.59523868560791
2012-07-12,4.563378810882568
2012-07-13,4.577539443969727
2012-07-16,4.58461856842041
2012-07-17,4.57045841217041
2012-07-18,4.577539443969727
2012-07-19,4.520895004272461
2012-07-20,4.517353534698486
2012-07-23,4.443007946014404
2012-07-24,4.1668701171875
2012-07-25,4.110224723815918
2012-07-26,4.08544397354126
2012-07-27,4.198732376098633
2012-07-30,4.1739501953125
2012-07-31,4.142087936401367
2012-08-01,3.975696086883545
2012-08-02,3.873028516769409
2012-08-03,4.1668701171875
2012-08-06,4.131467342376709
2012-08-07,4.421767711639404
2012-08-08,4.443007946014404
2012-08-09,4.545676231384277
2012-08-10,4.524435043334961
2012-08-13,4.57045841217041
2012-08-14,4.56691837310791
2012-08-15,4.581416606903076
2012-08-16,4.581416606903076
2012-08-17,4.534296989440918
2012-08-20,4.436434745788574
2012-08-21,4.42918586730957
2012-08-22,4.367568016052246
2012-08-23,4.280579566955566
2012-08-24,4.2697038650512695
2012-08-27,4.2117133140563965
2012-08-28,4.204463481903076
2012-08-29,4.179091453552246
2012-08-30,4.113850116729736
2012-08-31,4.244333267211914
2012-09-04,4.121100902557373
2012-09-05,4.099352836608887
2012-09-06,4.106600284576416
2012-09-07,4.04860782623291
2012-09-10,3.9978652000427246
2012-09-11,4.0377349853515625
2012-09-12,4.059481620788574
2012-09-13,4.059481620788574
2012-09-14,3.954371213912964
2012-09-17,3.798516035079956
2012-09-18,3.736898899078369
2012-09-19,3.8492584228515625
2012-09-20,3.8383853435516357
2012-09-21,3.8130152225494385
2012-09-24,3.820262908935547
2012-09-25,3.6861557960510254
2012-09-26,3.68977952003479
2012-09-27,3.71515154838562
2012-09-28,3.653533697128296
2012-10-01,3.617288589477539
2012-10-02,3.6644082069396973
2012-10-03,3.613663911819458
2012-10-04,3.646284580230713
2012-10-05,3.54842209815979
2012-10-08,3.4650585651397705
2012-10-09,3.3889427185058594
2012-10-10,3.3635714054107666
2012-10-11,3.381692886352539
2012-10-12,3.374445676803589
2012-10-15,3.334576368331909
2012-10-16,3.2693333625793457
2012-10-17,3.276581048965454
2012-10-18,3.2874557971954346
2012-10-19,3.2439613342285156
2012-10-22,3.127976417541504
2012-10-23,3.0663604736328125
2012-10-24,3.1026036739349365
2012-10-25,3.037362575531006
2012-10-26,3.0047426223754883
2012-10-31,3.0446114540100098
2012-11-01,3.077233076095581
2012-11-02,3.095355749130249
2012-11-05,3.1605968475341797
2012-11-06,3.214965343475342
2012-11-07,3.1424739360809326
2012-11-08,3.149723529815674
2012-11-09,3.1026036739349365
2012-11-12,3.080857276916504
2012-11-13,3.015615463256836
2012-11-14,2.9902429580688477
2012-11-15,3.1062281131744385
2012-11-16,3.1642212867736816
2012-11-19,3.2947041988372803
2012-11-20,3.2802066802978516
2012-11-21,3.312828302383423
2012-11-23,3.4614346027374268
2012-11-26,3.4686825275421143
2012-11-27,3.476166009902954
2012-11-28,3.41629695892334
2012-11-29,3.40507173538208
2012-11-30,3.4013285636901855
2012-12-03,3.382620096206665
2012-12-04,3.3452022075653076
2012-12-05,3.2030115127563477
2012-12-06,3.12443470954895
2012-12-07,3.158109664916992
2012-12-10,3.1431429386138916
2012-12-11,3.12443470954895
2012-12-12,3.0645644664764404
2012-12-13,3.1506271362304688
2012-12-14,3.1880440711975098
2012-12-17,3.289074420928955
2012-12-18,3.397587776184082
2012-12-19,3.3526861667633057
2012-12-20,3.3077850341796875
2012-12-21,3.199270725250244
2012-12-24,3.1730778217315674
2012-12-26,3.1543679237365723
2012-12-27,3.165595054626465
2012-12-28,3.113208055496216
2012-12-31,3.2741076946258545
2013-01-02,3.292816162109375
2013-01-03,3.259140729904175
2013-01-04,3.423780679702759
2013-01-07,3.4125537872314453
2013-01-08,3.4873909950256348
2013-01-09,3.4462311267852783
2013-01-10,3.5547444820404053
2013-01-11,3.423780679702759
2013-01-14,3.386362314224243
2013-01-15,3.3377177715301514
2013-01-16,3.3227503299713135
2013-01-17,3.2217209339141846
2013-01-18,3.2217209339141846
2013-01-22,3.3339757919311523
2013-01-23,3.3227503299713135
2013-01-24,3.3377177715301514
2013-01-25,3.3713953495025635
2013-01-28,3.497107744216919
2013-01-29,3.4704415798187256
2013-01-30,3.3866329193115234
2013-01-31,3.2913951873779297
2013-02-01,3.3256802558898926
2013-02-04,3.3180630207061768
2013-02-05,3.3256802558898926
2013-02-06,3.3599679470062256
2013-02-07,3.337108850479126
2013-02-08,3.337108850479126
2013-02-11,3.3599679470062256
2013-02-12,3.409489154815674
2013-02-13,3.379014253616333
2013-02-14,3.3599679470062256
2013-02-15,3.340918779373169
2013-02-19,3.356157064437866
2013-02-20,3.310443639755249
2013-02-21,3.367586374282837
2013-02-22,3.4209182262420654
2013-02-25,3.5237743854522705
2013-02-26,3.4209182262420654
2013-02-27,3.466632604598999
2013-02-28,3.4056804180145264
2013-03-01,3.3904428482055664
2013-03-04,3.344728469848633
2013-03-05,3.3828227519989014
2013-03-06,3.4018702507019043
2013-03-07,3.3904428482055664
2013-03-08,3.466632604598999
2013-03-11,3.447584629058838
2013-03-12,3.4209182262420654
2013-03-13,3.4704415798187256
2013-03-14,3.5542497634887695
2013-03-15,3.5923449993133545
2013-03-18,3.7332961559295654
2013-03-19,3.8018665313720703
2013-03-20,3.900913715362549
2013-03-21,4.053293704986572
2013-03-22,4.247575759887695
2013-03-25,4.479955196380615
2013-03-26,4.289480209350586
2013-03-27,4.46090841293335
2013-03-28,4.3999552726745605
2013-04-01,4.198052883148193
2013-04-02,3.7485339641571045
2013-04-03,3.679961919784546
2013-04-04,3.691392183303833
2013-04-05,3.6990108489990234
2013-04-08,3.691392183303833
2013-04-09,3.7637722492218018
2013-04-10,3.7485339641571045
2013-04-11,3.7180583477020264
2013-04-12,3.706629753112793
2013-04-15,3.4704415798187256
2013-04-16,3.519965648651123
2013-04-17,3.466632604598999
2013-04-18,3.466632604598999
2013-04-19,3.4818708896636963
2013-04-22,3.4552040100097656
2013-04-23,3.4628214836120605
2013-04-24,3.4818708896636963
2013-04-25,3.5161561965942383
2013-04-26,3.4967730045318604
2013-04-29,3.512279987335205
2013-04-30,3.4541280269622803
2013-05-01,3.3339507579803467
2013-05-02,3.3843469619750977
2013-05-03,3.3572120666503906
2013-05-06,3.376596212387085
2013-05-07,3.345581293106079
2013-05-08,3.3572120666503906
2013-05-09,3.3223206996917725
2013-05-10,3.3417043685913086
2013-05-13,3.353334903717041
2013-05-14,3.3610877990722656
2013-05-15,3.4541280269622803
2013-05-16,3.395977735519409
2013-05-17,3.461881637573242
2013-05-20,3.4541280269622803
2013-05-21,3.5859365463256836
2013-05-22,3.4463753700256348
2013-05-23,3.430868625640869
2013-05-24,3.423114538192749
2013-05-28,3.395977735519409
2013-05-29,3.411485433578491
2013-05-30,3.330073833465576
2013-05-31,3.2486636638641357
2013-06-03,3.268047332763672
2013-06-04,3.2331578731536865
2013-06-05,3.229280471801758
2013-06-06,3.2447867393493652
2013-06-07,3.240910768508911
2013-06-10,3.2758004665374756
2013-06-11,3.1943907737731934
2013-06-12,3.1750071048736572
2013-06-13,3.2254035472869873
2013-06-14,3.1750071048736572
2013-06-17,3.2254035472869873
2013-06-18,3.202143907546997
2013-06-19,3.15950083732605
2013-06-20,3.058706521987915
2013-06-21,3.0664596557617188
2013-06-24,2.8687491416931152
2013-06-25,2.853241443634033
2013-06-26,2.783461332321167
2013-06-27,2.7757086753845215
2013-06-28,2.934652328491211
2013-07-01,2.9307761192321777
2013-07-02,2.923022985458374
2013-07-03,2.9191458225250244
2013-07-05,2.9579126834869385
2013-07-08,3.0276923179626465
2013-07-09,3.112980365753174
2013-07-10,3.1556243896484375
2013-07-11,3.1982667446136475
2013-07-12,3.2254035472869873
2013-07-15,3.2602946758270264
2013-07-16,3.2913074493408203
2013-07-17,3.2990612983703613
2013-07-18,3.3261985778808594
2013-07-19,3.430868625640869
2013-07-22,3.5587992668151855
2013-07-23,3.8728103637695312
2013-07-24,3.9697279930114746
2013-07-25,3.9736056327819824
2013-07-26,3.9387142658233643
2013-07-29,3.9584076404571533
2013-07-30,3.7851052284240723
2013-07-31,3.7339017391204834
2013-08-01,3.7654120922088623
2013-08-02,3.698453187942505
2013-08-05,3.706331968307495
2013-08-06,3.584230661392212
2013-08-07,3.5802905559539795
2013-08-08,3.5881686210632324
2013-08-09,3.741778612136841
2013-08-12,3.8284308910369873
2013-08-13,3.521212100982666
2013-08-14,3.4700076580047607
