Date,WSBC
2010-09-28,9.631097793579102
2010-09-29,9.525781631469727
2010-09-30,9.560890197753906
2010-10-01,9.900257110595703
2010-10-04,9.607696533203125
2010-10-05,10.05824089050293
2010-10-06,10.099198341369629
2010-10-07,9.970474243164062
2010-10-08,10.140156745910645
2010-10-11,10.028984069824219
2010-10-12,9.988025665283203
2010-10-13,10.3742036819458
2010-10-14,10.333248138427734
2010-10-15,10.181113243103027
2010-10-18,10.777939796447754
2010-10-19,10.181113243103027
2010-10-20,10.046539306640625
2010-10-21,9.841743469238281
2010-10-22,9.865152359008789
2010-10-25,9.835894584655762
2010-10-26,9.947067260742188
2010-10-27,9.929512977600098
2010-10-28,9.830042839050293
2010-10-29,9.71886920928955
2010-11-01,9.397050857543945
2010-11-02,9.771531105041504
2010-11-03,10.093350410461426
