Date,DOCS
2022-03-25,48.31999969482422
2022-03-28,49.0
2022-03-29,52.56999969482422
2022-03-30,51.810001373291016
2022-03-31,52.09000015258789
2022-04-01,52.790000915527344
2022-04-04,54.0
2022-04-05,53.22999954223633
2022-04-06,51.4900016784668
2022-04-07,50.970001220703125
2022-04-08,48.810001373291016
2022-04-11,48.83000183105469
2022-04-12,48.72999954223633
2022-04-13,50.47999954223633
2022-04-14,50.310001373291016
2022-04-18,47.970001220703125
2022-04-19,51.06999969482422
2022-04-20,49.9900016784668
2022-04-21,47.9900016784668
2022-04-22,44.619998931884766
2022-04-25,46.65999984741211
2022-04-26,44.56999969482422
2022-04-27,43.29999923706055
2022-04-28,42.540000915527344
2022-04-29,39.869998931884766
2022-05-02,41.38999938964844
2022-05-03,39.220001220703125
2022-05-04,40.65999984741211
