Date,RXST
2022-04-29,12.270000457763672
2022-05-02,12.050000190734863
2022-05-03,12.020000457763672
2022-05-04,11.859999656677246
2022-05-05,10.609999656677246
2022-05-06,11.350000381469727
2022-05-09,10.739999771118164
2022-05-10,11.5
2022-05-11,11.149999618530273
2022-05-12,11.579999923706055
2022-05-13,12.390000343322754
2022-05-16,12.470000267028809
2022-05-17,13.40999984741211
2022-05-18,12.420000076293945
2022-05-19,12.239999771118164
2022-05-20,13.619999885559082
2022-05-23,13.579999923706055
2022-05-24,12.569999694824219
2022-05-25,13.979999542236328
2022-05-26,13.569999694824219
2022-05-27,14.0
2022-05-31,13.65999984741211
2022-06-01,13.880000114440918
2022-06-02,14.010000228881836
2022-06-03,16.0
2022-06-06,15.800000190734863
2022-06-07,16.399999618530273
2022-06-08,16.65999984741211
