Date,DG
2010-09-29,25.837894439697266
2010-09-30,25.592905044555664
2010-10-01,25.50540542602539
2010-10-04,25.32166290283203
2010-10-05,25.584152221679688
2010-10-06,26.039146423339844
2010-10-07,26.100379943847656
2010-10-08,26.249126434326172
2010-10-11,25.671653747558594
2010-10-12,25.207910537719727
2010-10-13,25.584152221679688
2010-10-14,25.374156951904297
2010-10-15,25.312911987304688
2010-10-18,25.671653747558594
2010-10-19,24.595434188842773
2010-10-20,24.586685180664062
2010-10-21,24.411693572998047
2010-10-22,24.674179077148438
2010-10-25,25.015422821044922
2010-10-26,24.779178619384766
2010-10-27,24.446687698364258
2010-10-28,24.446687698364258
2010-10-29,24.66543197631836
2010-11-01,24.446687698364258
2010-11-02,25.059173583984375
2010-11-03,24.98042106628418
2010-11-04,24.80542755126953
