Date,EPAC
2015-07-15,22.169967651367188
2015-07-16,22.573060989379883
2015-07-17,22.504240036010742
2015-07-20,22.612384796142578
2015-07-21,22.563228607177734
2015-07-22,22.612384796142578
2015-07-23,22.504240036010742
2015-07-24,21.983173370361328
2015-07-27,21.914352416992188
2015-07-28,22.091320037841797
2015-07-29,22.612384796142578
2015-07-30,22.612384796142578
2015-07-31,22.671377182006836
2015-08-03,22.1798038482666
2015-08-04,22.20929527282715
2015-08-05,22.317441940307617
2015-08-06,22.376434326171875
2015-08-07,22.563228607177734
2015-08-10,23.15311622619629
2015-08-11,22.907331466674805
2015-08-12,22.72053337097168
2015-08-13,22.62221908569336
2015-08-14,22.759857177734375
2015-08-17,22.769689559936523
2015-08-18,22.779521942138672
2015-08-19,22.02250099182129
2015-08-20,21.285140991210938
2015-08-21,21.137664794921875
2015-08-24,20.636260986328125
2015-08-25,19.43682289123535
2015-08-26,19.426990509033203
2015-08-27,20.016878128051758
2015-08-28,20.508453369140625
2015-08-31,21.078678131103516
2015-09-01,19.9382266998291
2015-09-02,19.59412384033203
2015-09-03,19.731761932373047
2015-09-04,19.250024795532227
2015-09-08,19.27952003479004
2015-09-09,19.033729553222656
2015-09-10,18.87643051147461
2015-09-11,18.709293365478516
2015-09-14,18.384855270385742
2015-09-15,19.014068603515625
2015-09-16,19.800582885742188
2015-09-17,19.250024795532227
2015-09-18,18.453676223754883
2015-09-21,18.4635066986084
2015-09-22,18.266878128051758
2015-09-23,17.75563621520996
2015-09-24,17.922775268554688
2015-09-25,17.73597526550293
2015-09-28,17.47978973388672
2015-09-29,17.312284469604492
2015-09-30,18.120254516601562
2015-10-01,18.45526695251465
2015-10-02,18.622777938842773
2015-10-05,20.494901657104492
2015-10-06,20.967866897583008
2015-10-07,21.37185287475586
2015-10-08,23.263689041137695
2015-10-09,22.761167526245117
2015-10-12,21.49994468688965
2015-10-13,20.898889541625977
2015-10-14,20.74123764038086
2015-10-15,21.017133712768555
2015-10-16,21.076250076293945
2015-10-19,20.80035972595215
2015-10-20,21.115665435791016
2015-10-21,20.77079963684082
2015-10-22,21.637893676757812
2015-10-23,21.677305221557617
2015-10-26,21.263469696044922
2015-10-27,20.93830680847168
2015-10-28,21.805397033691406
2015-10-29,22.2192325592041
2015-10-30,22.4655704498291
2015-11-02,23.263689041137695
2015-11-03,24.59388542175293
2015-11-04,24.73183250427246
2015-11-05,24.564329147338867
2015-11-06,24.357406616210938
2015-11-09,23.63811492919922
2015-11-10,23.63811492919922
2015-11-11,23.086328506469727
2015-11-12,22.20938491821289
2015-11-13,22.32762336730957
2015-11-16,22.573957443237305
2015-11-17,22.593664169311523
2015-11-18,23.63811492919922
2015-11-19,23.982982635498047
2015-11-20,24.239166259765625
2015-11-23,24.130781173706055
2015-11-24,24.61359405517578
2015-11-25,24.130781173706055
2015-11-27,24.081512451171875
2015-11-30,24.396820068359375
2015-12-01,24.002689361572266
2015-12-02,23.539579391479492
2015-12-03,23.165157318115234
2015-12-04,23.362220764160156
2015-12-07,23.17500877380371
2015-12-08,22.554248809814453
2015-12-09,22.593664169311523
2015-12-10,22.514835357666016
2015-12-11,21.894079208374023
2015-12-14,22.317773818969727
2015-12-15,21.46053123474121
2015-12-16,21.480236053466797
2015-12-17,22.573957443237305
2015-12-18,22.613370895385742
2015-12-21,22.426158905029297
2015-12-22,23.13559341430664
2015-12-23,24.051956176757812
2015-12-24,24.406673431396484
2015-12-28,24.012542724609375
2015-12-29,24.43623161315918
2015-12-30,23.963274002075195
2015-12-31,23.60855484008789
2016-01-04,23.67753028869629
2016-01-05,23.805622100830078
2016-01-06,23.618408203125
2016-01-07,22.613370895385742
2016-01-08,21.785694122314453
2016-01-11,21.64774513244629
2016-01-12,21.70686149597168
2016-01-13,21.135372161865234
2016-01-14,21.43096923828125
2016-01-15,21.135372161865234
2016-01-19,21.095956802368164
2016-01-20,21.41126251220703
2016-01-21,21.06639862060547
2016-01-22,21.480236053466797
2016-01-25,20.810213088989258
2016-01-26,21.73642349243164
2016-01-27,21.894079208374023
2016-01-28,22.022172927856445
2016-01-29,22.938528060913086
2016-02-01,22.524688720703125
2016-02-02,21.64774513244629
2016-02-03,21.834957122802734
2016-02-04,22.7414608001709
2016-02-05,22.357187271118164
2016-02-08,21.9039306640625
2016-02-09,21.174785614013672
2016-02-10,21.06639862060547
2016-02-11,21.04669189453125
2016-02-12,21.41126251220703
2016-02-16,22.2192325592041
2016-02-17,22.790725708007812
2016-02-18,22.564104080200195
2016-02-19,22.140411376953125
2016-02-22,22.721755981445312
2016-02-23,22.49513053894043
2016-02-24,22.288209915161133
2016-02-25,22.908971786499023
2016-02-26,23.13559341430664
2016-02-29,23.066621780395508
2016-03-01,24.042102813720703
2016-03-02,23.94356918334961
2016-03-03,24.130781173706055
2016-03-04,24.120925903320312
2016-03-07,24.7712459564209
2016-03-08,22.7808780670166
2016-03-09,23.165157318115234
2016-03-10,22.73160743713379
2016-03-11,23.56913948059082
2016-03-14,23.51987648010254
2016-03-15,22.64293098449707
2016-03-16,22.98780059814453
2016-03-17,24.012542724609375
2016-03-18,23.618408203125
2016-03-21,24.06180763244629
2016-03-22,24.101221084594727
2016-03-23,23.726795196533203
2016-03-24,23.982982635498047
2016-03-28,24.032249450683594
