Date,EQIX
2010-09-29,77.23839569091797
2010-09-30,76.5206527709961
2010-10-01,76.88700103759766
2010-10-04,75.58610534667969
2010-10-05,78.56916046142578
2010-10-06,52.58879852294922
2010-10-07,56.07278823852539
2010-10-08,56.01298141479492
2010-10-11,54.540122985839844
2010-10-12,55.3326416015625
2010-10-13,55.534461975097656
2010-10-14,54.981239318847656
2010-10-15,55.2802848815918
2010-10-18,56.11764144897461
2010-10-19,56.37932205200195
2010-10-20,56.34193801879883
2010-10-21,55.527015686035156
2010-10-22,56.20735549926758
2010-10-25,55.92325973510742
2010-10-26,57.261539459228516
2010-10-27,62.05388259887695
2010-10-28,61.94922637939453
2010-10-29,62.980960845947266
2010-11-01,61.971656799316406
2010-11-02,63.45941925048828
2010-11-03,63.11553955078125
2010-11-04,63.08562088012695
